,Fold_Enrichment,Fold_Enrichment,Pct_Target,Pct_Target
Condition,TEAD1,TES,TEAD1,TES
TF_Family,,,,
HMG,1.9779630732578917,2.047565118912797,33.21,36.16
Runt,2.5146804835924006,2.7267605633802816,14.56,19.36
TEA,3.1138279932546378,2.1076794657762936,36.93,25.25
TEAD,3.445771144278607,2.2583826429980274,34.63,22.9
bZIP,5.0291262135922326,5.407407407407407,25.9,26.28
