Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
IggMs_filtered_flagstat	3849784	0	0	0	0	0	0	0	3849784	0	100.0	nan	3849784	0	1924892	0	1924892	0	3849784	0	100.0	nan	3849784	0	0	0	0.0	nan	0	0	0	0	3849784
IggMs_flagstat	142602462	0	0	0	0	0	0	0	24109708	0	16.91	nan	142602462	0	71301231	0	71301231	0	24109708	0	16.91	nan	24109708	0	0	0	0.0	nan	0	0	0	0	142602462
IggRb_filtered_flagstat	3735342	0	0	0	0	0	0	0	3735342	0	100.0	nan	3735342	0	1867671	0	1867671	0	3735342	0	100.0	nan	3735342	0	0	0	0.0	nan	0	0	0	0	3735342
IggRb_flagstat	128892462	0	0	0	0	0	0	0	54254208	0	42.09	nan	128892462	0	64446231	0	64446231	0	54254208	0	42.09	nan	54254208	0	0	0	0.0	nan	0	0	0	0	128892462
TEAD1-1_filtered_flagstat	3951266	0	0	0	0	0	0	0	3951266	0	100.0	nan	3951266	0	1975633	0	1975633	0	3951266	0	100.0	nan	3951266	0	0	0	0.0	nan	0	0	0	0	3951266
TEAD1-1_flagstat	474498230	0	0	0	0	0	0	0	112268386	0	23.66	nan	474498230	0	237249115	0	237249115	0	112268386	0	23.66	nan	112268386	0	0	0	0.0	nan	0	0	0	0	474498230
TEAD1-2_filtered_flagstat	2335612	0	0	0	0	0	0	0	2335612	0	100.0	nan	2335612	0	1167806	0	1167806	0	2335612	0	100.0	nan	2335612	0	0	0	0.0	nan	0	0	0	0	2335612
TEAD1-2_flagstat	137742408	0	0	0	0	0	0	0	19005034	0	13.8	nan	137742408	0	68871204	0	68871204	0	19005034	0	13.8	nan	19005034	0	0	0	0.0	nan	0	0	0	0	137742408
TEAD1-3_filtered_flagstat	2760848	0	0	0	0	0	0	0	2760848	0	100.0	nan	2760848	0	1380424	0	1380424	0	2760848	0	100.0	nan	2760848	0	0	0	0.0	nan	0	0	0	0	2760848
TEAD1-3_flagstat	149333934	0	0	0	0	0	0	0	42657304	0	28.57	nan	149333934	0	74666967	0	74666967	0	42657304	0	28.57	nan	42657304	0	0	0	0.0	nan	0	0	0	0	149333934
TES-1_filtered_flagstat	28016836	0	0	0	0	0	0	0	28016836	0	100.0	nan	28016836	0	14008418	0	14008418	0	28016836	0	100.0	nan	28016836	0	0	0	0.0	nan	0	0	0	0	28016836
TES-1_flagstat	121641390	0	0	0	0	0	0	0	66925916	0	55.02	nan	121641390	0	60820695	0	60820695	0	66925916	0	55.02	nan	66925916	0	0	0	0.0	nan	0	0	0	0	121641390
TES-2_filtered_flagstat	5709934	0	0	0	0	0	0	0	5709934	0	100.0	nan	5709934	0	2854967	0	2854967	0	5709934	0	100.0	nan	5709934	0	0	0	0.0	nan	0	0	0	0	5709934
TES-2_flagstat	130282166	0	0	0	0	0	0	0	55036554	0	42.24	nan	130282166	0	65141083	0	65141083	0	55036554	0	42.24	nan	55036554	0	0	0	0.0	nan	0	0	0	0	130282166
TES-3_filtered_flagstat	33780698	0	0	0	0	0	0	0	33780698	0	100.0	nan	33780698	0	16890349	0	16890349	0	33780698	0	100.0	nan	33780698	0	0	0	0.0	nan	0	0	0	0	33780698
TES-3_flagstat	138159392	0	0	0	0	0	0	0	100855886	0	73.0	nan	138159392	0	69079696	0	69079696	0	100855886	0	73.0	nan	100855886	0	0	0	0.0	nan	0	0	0	0	138159392
TESmut-1_filtered_flagstat	16110684	0	0	0	0	0	0	0	16110684	0	100.0	nan	16110684	0	8055342	0	8055342	0	16110684	0	100.0	nan	16110684	0	0	0	0.0	nan	0	0	0	0	16110684
TESmut-1_flagstat	136873278	0	0	0	0	0	0	0	76173562	0	55.65	nan	136873278	0	68436639	0	68436639	0	76173562	0	55.65	nan	76173562	0	0	0	0.0	nan	0	0	0	0	136873278
TESmut-2_filtered_flagstat	12535344	0	0	0	0	0	0	0	12535344	0	100.0	nan	12535344	0	6267672	0	6267672	0	12535344	0	100.0	nan	12535344	0	0	0	0.0	nan	0	0	0	0	12535344
TESmut-2_flagstat	133196358	0	0	0	0	0	0	0	65112710	0	48.88	nan	133196358	0	66598179	0	66598179	0	65112710	0	48.88	nan	65112710	0	0	0	0.0	nan	0	0	0	0	133196358
TESmut-3_filtered_flagstat	21252378	0	0	0	0	0	0	0	21252378	0	100.0	nan	21252378	0	10626189	0	10626189	0	21252378	0	100.0	nan	21252378	0	0	0	0.0	nan	0	0	0	0	21252378
TESmut-3_flagstat	182444748	0	0	0	0	0	0	0	112123860	0	61.46	nan	182444748	0	91222374	0	91222374	0	112123860	0	61.46	nan	112123860	0	0	0	0.0	nan	0	0	0	0	182444748
