"comparison","group","n_overlaps","total_peaks1","total_peaks2","overlap_rate1","overlap_rate2","avg_overlap_rate","correlation"
"TES-1_vs_TES-2","TES",7640,22218,14642,0.343865334413539,0.521786641169239,0.432825987791389,0.423585101081444
"TES-1_vs_TES-3","TES",14366,22218,18357,0.646592852642002,0.782589747780138,0.71459130021107,0.711348675029022
"TES-2_vs_TES-3","TES",8015,14642,18357,0.547397896462232,0.436618183799096,0.492008040130664,0.48888022599486
"TEAD1-1_vs_TEAD1-2","TEAD1",6243,18662,9933,0.3345300610867,0.628511023859861,0.481520542473281,0.458536619263395
"TEAD1-1_vs_TEAD1-3","TEAD1",6307,18662,10269,0.337959489872468,0.614178595773688,0.476069042823078,0.455595747256561
"TEAD1-2_vs_TEAD1-3","TEAD1",5285,9933,10269,0.532064834390416,0.514655760054533,0.523360297222474,0.523287905212311
