Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | IggMs_R1_001.fastq.gz	(13.0, 58.0)	(14.0, 1127.0)	(15.0, 6592.0)	(16.0, 13946.0)	(17.0, 18397.0)	(18.0, 25324.0)	(19.0, 36575.0)	(20.0, 49591.0)	(21.0, 63504.0)	(22.0, 82994.0)	(23.0, 105340.0)	(24.0, 134811.0)	(25.0, 170943.0)	(26.0, 213130.0)	(27.0, 281019.0)	(28.0, 362470.0)	(29.0, 519603.0)	(30.0, 775968.0)	(31.0, 1449885.0)	(32.0, 4143303.0)	(33.0, 8079206.0)	(34.0, 7704044.0)	(35.0, 5009836.0)	(36.0, 4196532.0)	(37.0, 3956412.0)	(38.0, 5143686.0)	(39.0, 21098039.0)	(40.0, 7727268.0)				
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | IggMs_R2_001.fastq.gz	(10.0, 6.0)	(11.0, 76.0)	(12.0, 626.0)	(13.0, 2773.0)	(14.0, 10533.0)	(15.0, 24330.0)	(16.0, 33438.0)	(17.0, 35090.0)	(18.0, 37191.0)	(19.0, 41103.0)	(20.0, 46837.0)	(21.0, 51834.0)	(22.0, 58638.0)	(23.0, 67433.0)	(24.0, 75822.0)	(25.0, 90100.0)	(26.0, 103492.0)	(27.0, 118512.0)	(28.0, 140630.0)	(29.0, 156865.0)	(30.0, 192541.0)	(31.0, 220123.0)	(32.0, 273378.0)	(33.0, 342944.0)	(34.0, 441783.0)	(35.0, 652562.0)	(36.0, 973686.0)	(37.0, 1916993.0)	(38.0, 5115583.0)	(39.0, 48168737.0)	(40.0, 11975944.0)	
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | IggRb_R1_001.fastq.gz	(12.0, 2.0)	(13.0, 106.0)	(14.0, 2234.0)	(15.0, 14045.0)	(16.0, 28289.0)	(17.0, 28619.0)	(18.0, 29456.0)	(19.0, 37464.0)	(20.0, 47418.0)	(21.0, 58477.0)	(22.0, 74350.0)	(23.0, 91173.0)	(24.0, 113328.0)	(25.0, 142950.0)	(26.0, 173677.0)	(27.0, 223202.0)	(28.0, 281294.0)	(29.0, 385224.0)	(30.0, 553513.0)	(31.0, 921060.0)	(32.0, 2200836.0)	(33.0, 4993797.0)	(34.0, 7018068.0)	(35.0, 5155699.0)	(36.0, 4312284.0)	(37.0, 4019790.0)	(38.0, 5315451.0)	(39.0, 20918185.0)	(40.0, 7382022.0)			
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | IggRb_R2_001.fastq.gz	(10.0, 8.0)	(11.0, 211.0)	(12.0, 1533.0)	(13.0, 5711.0)	(14.0, 18776.0)	(15.0, 39820.0)	(16.0, 46276.0)	(17.0, 41879.0)	(18.0, 41290.0)	(19.0, 44455.0)	(20.0, 49629.0)	(21.0, 53331.0)	(22.0, 59768.0)	(23.0, 68016.0)	(24.0, 75701.0)	(25.0, 87830.0)	(26.0, 100113.0)	(27.0, 113550.0)	(28.0, 132795.0)	(29.0, 146487.0)	(30.0, 177821.0)	(31.0, 202127.0)	(32.0, 249615.0)	(33.0, 310077.0)	(34.0, 394820.0)	(35.0, 580271.0)	(36.0, 867968.0)	(37.0, 1705491.0)	(38.0, 4480730.0)	(39.0, 42801840.0)	(40.0, 11624074.0)	
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | TEAD1-1_R1_001.fastq.gz	(12.0, 6.0)	(13.0, 253.0)	(14.0, 4467.0)	(15.0, 24406.0)	(16.0, 48584.0)	(17.0, 62664.0)	(18.0, 85350.0)	(19.0, 123792.0)	(20.0, 167280.0)	(21.0, 216374.0)	(22.0, 284696.0)	(23.0, 357655.0)	(24.0, 458634.0)	(25.0, 581317.0)	(26.0, 724069.0)	(27.0, 951260.0)	(28.0, 1230048.0)	(29.0, 1782128.0)	(30.0, 2680471.0)	(31.0, 5292394.0)	(32.0, 16713283.0)	(33.0, 30705061.0)	(34.0, 25208043.0)	(35.0, 19343350.0)	(36.0, 15384945.0)	(37.0, 14015302.0)	(38.0, 16664172.0)	(39.0, 64304433.0)	(40.0, 20276869.0)			
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | TEAD1-1_R2_001.fastq.gz	(10.0, 12.0)	(11.0, 241.0)	(12.0, 1979.0)	(13.0, 9973.0)	(14.0, 40846.0)	(15.0, 103721.0)	(16.0, 144329.0)	(17.0, 152034.0)	(18.0, 158340.0)	(19.0, 173404.0)	(20.0, 197055.0)	(21.0, 212413.0)	(22.0, 241574.0)	(23.0, 275057.0)	(24.0, 305061.0)	(25.0, 361415.0)	(26.0, 406976.0)	(27.0, 463713.0)	(28.0, 548830.0)	(29.0, 604125.0)	(30.0, 740253.0)	(31.0, 838204.0)	(32.0, 1041108.0)	(33.0, 1292582.0)	(34.0, 1664248.0)	(35.0, 2427737.0)	(36.0, 3612370.0)	(37.0, 7020951.0)	(38.0, 18957466.0)	(39.0, 161947051.0)	(40.0, 33748238.0)	
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | TEAD1-2_R1_001.fastq.gz	(12.0, 1.0)	(13.0, 49.0)	(14.0, 804.0)	(15.0, 4905.0)	(16.0, 10615.0)	(17.0, 14473.0)	(18.0, 20567.0)	(19.0, 30393.0)	(20.0, 41414.0)	(21.0, 52833.0)	(22.0, 68782.0)	(23.0, 86841.0)	(24.0, 109534.0)	(25.0, 139753.0)	(26.0, 172842.0)	(27.0, 222523.0)	(28.0, 282916.0)	(29.0, 386721.0)	(30.0, 557974.0)	(31.0, 973277.0)	(32.0, 2531318.0)	(33.0, 5573025.0)	(34.0, 6143557.0)	(35.0, 4607047.0)	(36.0, 4213656.0)	(37.0, 4339085.0)	(38.0, 5649819.0)	(39.0, 24690301.0)	(40.0, 8014914.0)			
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | TEAD1-2_R2_001.fastq.gz	(10.0, 2.0)	(11.0, 81.0)	(12.0, 467.0)	(13.0, 2382.0)	(14.0, 9307.0)	(15.0, 22262.0)	(16.0, 30742.0)	(17.0, 33237.0)	(18.0, 35718.0)	(19.0, 40279.0)	(20.0, 46407.0)	(21.0, 51206.0)	(22.0, 57789.0)	(23.0, 66346.0)	(24.0, 73797.0)	(25.0, 88903.0)	(26.0, 100998.0)	(27.0, 114993.0)	(28.0, 137088.0)	(29.0, 151293.0)	(30.0, 185499.0)	(31.0, 211647.0)	(32.0, 259825.0)	(33.0, 324983.0)	(34.0, 414451.0)	(35.0, 610553.0)	(36.0, 909079.0)	(37.0, 1785302.0)	(38.0, 4663927.0)	(39.0, 45390626.0)	(40.0, 13120750.0)	
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | TEAD1-3_R1_001.fastq.gz	(12.0, 1.0)	(13.0, 51.0)	(14.0, 942.0)	(15.0, 5759.0)	(16.0, 12720.0)	(17.0, 16519.0)	(18.0, 23277.0)	(19.0, 34112.0)	(20.0, 45691.0)	(21.0, 59446.0)	(22.0, 76945.0)	(23.0, 97045.0)	(24.0, 122409.0)	(25.0, 156249.0)	(26.0, 192266.0)	(27.0, 249350.0)	(28.0, 315956.0)	(29.0, 438537.0)	(30.0, 642603.0)	(31.0, 1230211.0)	(32.0, 3862072.0)	(33.0, 6395923.0)	(34.0, 5598265.0)	(35.0, 5734112.0)	(36.0, 5007057.0)	(37.0, 4288346.0)	(38.0, 6232869.0)	(39.0, 25550666.0)	(40.0, 8357317.0)			
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | TEAD1-3_R2_001.fastq.gz	(10.0, 3.0)	(11.0, 75.0)	(12.0, 584.0)	(13.0, 2665.0)	(14.0, 10390.0)	(15.0, 25083.0)	(16.0, 33984.0)	(17.0, 36835.0)	(18.0, 40119.0)	(19.0, 44744.0)	(20.0, 52001.0)	(21.0, 57202.0)	(22.0, 65406.0)	(23.0, 75220.0)	(24.0, 84393.0)	(25.0, 99963.0)	(26.0, 114274.0)	(27.0, 131094.0)	(28.0, 155209.0)	(29.0, 171566.0)	(30.0, 208632.0)	(31.0, 238681.0)	(32.0, 294172.0)	(33.0, 366087.0)	(34.0, 469048.0)	(35.0, 689182.0)	(36.0, 1029193.0)	(37.0, 2021937.0)	(38.0, 5350108.0)	(39.0, 49688259.0)	(40.0, 13190607.0)	
