Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | TES-1_R1_001.fastq.gz	(13.0, 54.0)	(14.0, 825.0)	(15.0, 4348.0)	(16.0, 9912.0)	(17.0, 14151.0)	(18.0, 20822.0)	(19.0, 31093.0)	(20.0, 42128.0)	(21.0, 54341.0)	(22.0, 70628.0)	(23.0, 87568.0)	(24.0, 109371.0)	(25.0, 138643.0)	(26.0, 167216.0)	(27.0, 213980.0)	(28.0, 265914.0)	(29.0, 350176.0)	(30.0, 478527.0)	(31.0, 701351.0)	(32.0, 1306020.0)	(33.0, 2295588.0)	(34.0, 4208232.0)	(35.0, 5506807.0)	(36.0, 6399889.0)	(37.0, 5203917.0)	(38.0, 5625600.0)	(39.0, 21243442.0)	(40.0, 6325724.0)				
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | TES-1_R2_001.fastq.gz	(10.0, 7.0)	(11.0, 132.0)	(12.0, 829.0)	(13.0, 3217.0)	(14.0, 10916.0)	(15.0, 23819.0)	(16.0, 31764.0)	(17.0, 34694.0)	(18.0, 36789.0)	(19.0, 41487.0)	(20.0, 48396.0)	(21.0, 53262.0)	(22.0, 61114.0)	(23.0, 69948.0)	(24.0, 78321.0)	(25.0, 91815.0)	(26.0, 104096.0)	(27.0, 117832.0)	(28.0, 138230.0)	(29.0, 153827.0)	(30.0, 185578.0)	(31.0, 211335.0)	(32.0, 259836.0)	(33.0, 323088.0)	(34.0, 415138.0)	(35.0, 604121.0)	(36.0, 904004.0)	(37.0, 1775407.0)	(38.0, 4728670.0)	(39.0, 40730789.0)	(40.0, 9637806.0)	
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | TES-2_R1_001.fastq.gz	(12.0, 2.0)	(13.0, 37.0)	(14.0, 636.0)	(15.0, 3792.0)	(16.0, 8635.0)	(17.0, 13078.0)	(18.0, 19766.0)	(19.0, 30116.0)	(20.0, 41943.0)	(21.0, 54916.0)	(22.0, 72711.0)	(23.0, 92854.0)	(24.0, 119130.0)	(25.0, 152272.0)	(26.0, 189841.0)	(27.0, 249244.0)	(28.0, 317291.0)	(29.0, 453116.0)	(30.0, 672601.0)	(31.0, 1337334.0)	(32.0, 4178884.0)	(33.0, 6991718.0)	(34.0, 5692445.0)	(35.0, 5354213.0)	(36.0, 4722391.0)	(37.0, 4001876.0)	(38.0, 5238287.0)	(39.0, 19829336.0)	(40.0, 5341414.0)			
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | TES-2_R2_001.fastq.gz	(10.0, 1.0)	(11.0, 33.0)	(12.0, 380.0)	(13.0, 1963.0)	(14.0, 8081.0)	(15.0, 19078.0)	(16.0, 26553.0)	(17.0, 29170.0)	(18.0, 32176.0)	(19.0, 36389.0)	(20.0, 42959.0)	(21.0, 48748.0)	(22.0, 55458.0)	(23.0, 64118.0)	(24.0, 72820.0)	(25.0, 86688.0)	(26.0, 99621.0)	(27.0, 114542.0)	(28.0, 136780.0)	(29.0, 151855.0)	(30.0, 184817.0)	(31.0, 211738.0)	(32.0, 264012.0)	(33.0, 328638.0)	(34.0, 424251.0)	(35.0, 625241.0)	(36.0, 938264.0)	(37.0, 1840207.0)	(38.0, 4910102.0)	(39.0, 44128387.0)	(40.0, 10296809.0)	
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | TES-3_R1_001.fastq.gz	(12.0, 1.0)	(13.0, 56.0)	(14.0, 1018.0)	(15.0, 5486.0)	(16.0, 13117.0)	(17.0, 20013.0)	(18.0, 29872.0)	(19.0, 43242.0)	(20.0, 58882.0)	(21.0, 75264.0)	(22.0, 97378.0)	(23.0, 120514.0)	(24.0, 150473.0)	(25.0, 188984.0)	(26.0, 229146.0)	(27.0, 294683.0)	(28.0, 364485.0)	(29.0, 480377.0)	(30.0, 661140.0)	(31.0, 979630.0)	(32.0, 1830069.0)	(33.0, 3087883.0)	(34.0, 5388372.0)	(35.0, 7005812.0)	(36.0, 8589261.0)	(37.0, 6879166.0)	(38.0, 6844139.0)	(39.0, 21067479.0)	(40.0, 4636441.0)			
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | TES-3_R2_001.fastq.gz	(10.0, 8.0)	(11.0, 137.0)	(12.0, 781.0)	(13.0, 3568.0)	(14.0, 12034.0)	(15.0, 26427.0)	(16.0, 35592.0)	(17.0, 40299.0)	(18.0, 43271.0)	(19.0, 47995.0)	(20.0, 54598.0)	(21.0, 60205.0)	(22.0, 67667.0)	(23.0, 76535.0)	(24.0, 85598.0)	(25.0, 100857.0)	(26.0, 113512.0)	(27.0, 128809.0)	(28.0, 150586.0)	(29.0, 166104.0)	(30.0, 202010.0)	(31.0, 230622.0)	(32.0, 286297.0)	(33.0, 355715.0)	(34.0, 456698.0)	(35.0, 669340.0)	(36.0, 1007962.0)	(37.0, 1987271.0)	(38.0, 5316986.0)	(39.0, 47102519.0)	(40.0, 10312380.0)	
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | TESmut-1_R1_001.fastq.gz	(11.0, 1.0)	(12.0, 3.0)	(13.0, 68.0)	(14.0, 995.0)	(15.0, 5396.0)	(16.0, 12460.0)	(17.0, 19626.0)	(18.0, 29690.0)	(19.0, 41595.0)	(20.0, 55368.0)	(21.0, 69699.0)	(22.0, 88874.0)	(23.0, 108925.0)	(24.0, 133808.0)	(25.0, 167362.0)	(26.0, 200914.0)	(27.0, 254147.0)	(28.0, 310908.0)	(29.0, 404683.0)	(30.0, 552043.0)	(31.0, 785641.0)	(32.0, 1420615.0)	(33.0, 2625830.0)	(34.0, 5385075.0)	(35.0, 7140593.0)	(36.0, 7610088.0)	(37.0, 5947819.0)	(38.0, 6387098.0)	(39.0, 22066894.0)	(40.0, 6688897.0)		
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | TESmut-1_R2_001.fastq.gz	(9.0, 1.0)	(10.0, 6.0)	(11.0, 59.0)	(12.0, 596.0)	(13.0, 3162.0)	(14.0, 12326.0)	(15.0, 28382.0)	(16.0, 38010.0)	(17.0, 41078.0)	(18.0, 44000.0)	(19.0, 48993.0)	(20.0, 54553.0)	(21.0, 59437.0)	(22.0, 67285.0)	(23.0, 76856.0)	(24.0, 85810.0)	(25.0, 100046.0)	(26.0, 113049.0)	(27.0, 128650.0)	(28.0, 149824.0)	(29.0, 165759.0)	(30.0, 200085.0)	(31.0, 228747.0)	(32.0, 282882.0)	(33.0, 350389.0)	(34.0, 450695.0)	(35.0, 656403.0)	(36.0, 983825.0)	(37.0, 1935934.0)	(38.0, 5141343.0)	(39.0, 46250842.0)	(40.0, 10816088.0)
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | TESmut-2_R1_001.fastq.gz	(12.0, 4.0)	(13.0, 62.0)	(14.0, 750.0)	(15.0, 4346.0)	(16.0, 9982.0)	(17.0, 15062.0)	(18.0, 21867.0)	(19.0, 32690.0)	(20.0, 45223.0)	(21.0, 58395.0)	(22.0, 77067.0)	(23.0, 98374.0)	(24.0, 124192.0)	(25.0, 158535.0)	(26.0, 194219.0)	(27.0, 253935.0)	(28.0, 324581.0)	(29.0, 456987.0)	(30.0, 670662.0)	(31.0, 1183969.0)	(32.0, 3077672.0)	(33.0, 6843941.0)	(34.0, 8386505.0)	(35.0, 5319157.0)	(36.0, 4115933.0)	(37.0, 3829190.0)	(38.0, 5120328.0)	(39.0, 20560121.0)	(40.0, 5668946.0)			
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | TESmut-2_R2_001.fastq.gz	(10.0, 6.0)	(11.0, 73.0)	(12.0, 574.0)	(13.0, 2841.0)	(14.0, 10642.0)	(15.0, 23943.0)	(16.0, 31883.0)	(17.0, 35095.0)	(18.0, 37829.0)	(19.0, 42373.0)	(20.0, 49144.0)	(21.0, 54438.0)	(22.0, 62757.0)	(23.0, 72452.0)	(24.0, 81239.0)	(25.0, 96428.0)	(26.0, 109529.0)	(27.0, 125145.0)	(28.0, 147353.0)	(29.0, 163383.0)	(30.0, 199987.0)	(31.0, 229004.0)	(32.0, 284484.0)	(33.0, 355976.0)	(34.0, 462224.0)	(35.0, 677392.0)	(36.0, 1024844.0)	(37.0, 2023350.0)	(38.0, 5547735.0)	(39.0, 45698967.0)	(40.0, 9001605.0)	
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | TESmut-3_R1_001.fastq.gz	(12.0, 2.0)	(13.0, 60.0)	(14.0, 1165.0)	(15.0, 6455.0)	(16.0, 15571.0)	(17.0, 24300.0)	(18.0, 36592.0)	(19.0, 53582.0)	(20.0, 74017.0)	(21.0, 98882.0)	(22.0, 132778.0)	(23.0, 167787.0)	(24.0, 218181.0)	(25.0, 276481.0)	(26.0, 351426.0)	(27.0, 474372.0)	(28.0, 631617.0)	(29.0, 951527.0)	(30.0, 1484378.0)	(31.0, 3198519.0)	(32.0, 11464927.0)	(33.0, 15609685.0)	(34.0, 9450422.0)	(35.0, 6847319.0)	(36.0, 4983042.0)	(37.0, 3887659.0)	(38.0, 5271494.0)	(39.0, 19650718.0)	(40.0, 6054916.0)			
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | TESmut-3_R2_001.fastq.gz	(10.0, 2.0)	(11.0, 90.0)	(12.0, 798.0)	(13.0, 4260.0)	(14.0, 17530.0)	(15.0, 41670.0)	(16.0, 57770.0)	(17.0, 63182.0)	(18.0, 67548.0)	(19.0, 74103.0)	(20.0, 83697.0)	(21.0, 92088.0)	(22.0, 104971.0)	(23.0, 120669.0)	(24.0, 134806.0)	(25.0, 158157.0)	(26.0, 176871.0)	(27.0, 200995.0)	(28.0, 234374.0)	(29.0, 258471.0)	(30.0, 315624.0)	(31.0, 358684.0)	(32.0, 445840.0)	(33.0, 550847.0)	(34.0, 708476.0)	(35.0, 1020426.0)	(36.0, 1513466.0)	(37.0, 2927364.0)	(38.0, 8174510.0)	(39.0, 64487172.0)	(40.0, 9023413.0)	
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 02_trimmed | IggMs_R1_001_val_1.fq.gz	(13.0, 21.0)	(14.0, 354.0)	(15.0, 2250.0)	(16.0, 4835.0)	(17.0, 5599.0)	(18.0, 7258.0)	(19.0, 10459.0)	(20.0, 14894.0)	(21.0, 20063.0)	(22.0, 26774.0)	(23.0, 36391.0)	(24.0, 48339.0)	(25.0, 63663.0)	(26.0, 81553.0)	(27.0, 101369.0)	(28.0, 125930.0)	(29.0, 149768.0)	(30.0, 181706.0)	(31.0, 221006.0)	(32.0, 274615.0)	(33.0, 346555.0)	(34.0, 460068.0)	(35.0, 677166.0)	(36.0, 1067301.0)	(37.0, 1916527.0)	(38.0, 4385368.0)	(39.0, 31351075.0)	(40.0, 29720324.0)				
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 02_trimmed | IggMs_R2_001_val_2.fq.gz	(9.0, 6.0)	(10.0, 22.0)	(11.0, 73.0)	(12.0, 358.0)	(13.0, 1776.0)	(14.0, 7090.0)	(15.0, 17485.0)	(16.0, 25653.0)	(17.0, 28074.0)	(18.0, 30052.0)	(19.0, 32424.0)	(20.0, 36217.0)	(21.0, 41246.0)	(22.0, 47737.0)	(23.0, 56125.0)	(24.0, 65705.0)	(25.0, 76857.0)	(26.0, 88056.0)	(27.0, 100389.0)	(28.0, 114767.0)	(29.0, 131639.0)	(30.0, 154888.0)	(31.0, 181270.0)	(32.0, 218572.0)	(33.0, 274692.0)	(34.0, 362767.0)	(35.0, 528524.0)	(36.0, 830074.0)	(37.0, 1510162.0)	(38.0, 3527569.0)	(39.0, 28803029.0)	(40.0, 34007933.0)
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 02_trimmed | IggRb_R1_001_val_1.fq.gz	(13.0, 34.0)	(14.0, 791.0)	(15.0, 5409.0)	(16.0, 11401.0)	(17.0, 10979.0)	(18.0, 9995.0)	(19.0, 12156.0)	(20.0, 16412.0)	(21.0, 21540.0)	(22.0, 28134.0)	(23.0, 37014.0)	(24.0, 48269.0)	(25.0, 63363.0)	(26.0, 79927.0)	(27.0, 98216.0)	(28.0, 119680.0)	(29.0, 142324.0)	(30.0, 172108.0)	(31.0, 206273.0)	(32.0, 254051.0)	(33.0, 323561.0)	(34.0, 429872.0)	(35.0, 627338.0)	(36.0, 987184.0)	(37.0, 1792851.0)	(38.0, 4162823.0)	(39.0, 29677599.0)	(40.0, 25106927.0)				
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 02_trimmed | IggRb_R2_001_val_2.fq.gz	(9.0, 5.0)	(10.0, 18.0)	(11.0, 131.0)	(12.0, 699.0)	(13.0, 3054.0)	(14.0, 10910.0)	(15.0, 25284.0)	(16.0, 33572.0)	(17.0, 32837.0)	(18.0, 32716.0)	(19.0, 34164.0)	(20.0, 38234.0)	(21.0, 42852.0)	(22.0, 48545.0)	(23.0, 56410.0)	(24.0, 65107.0)	(25.0, 75574.0)	(26.0, 86526.0)	(27.0, 97881.0)	(28.0, 111553.0)	(29.0, 125837.0)	(30.0, 147618.0)	(31.0, 172043.0)	(32.0, 207388.0)	(33.0, 258289.0)	(34.0, 337328.0)	(35.0, 487056.0)	(36.0, 759747.0)	(37.0, 1389374.0)	(38.0, 3252742.0)	(39.0, 27193097.0)	(40.0, 29319640.0)
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 02_trimmed | TEAD1-1_R1_001_val_1.fq.gz	(12.0, 2.0)	(13.0, 72.0)	(14.0, 1391.0)	(15.0, 8745.0)	(16.0, 17095.0)	(17.0, 19042.0)	(18.0, 23382.0)	(19.0, 33172.0)	(20.0, 47396.0)	(21.0, 64345.0)	(22.0, 87954.0)	(23.0, 118125.0)	(24.0, 157577.0)	(25.0, 210040.0)	(26.0, 268661.0)	(27.0, 336569.0)	(28.0, 414336.0)	(29.0, 498236.0)	(30.0, 606227.0)	(31.0, 749726.0)	(32.0, 929649.0)	(33.0, 1143087.0)	(34.0, 1518845.0)	(35.0, 2236356.0)	(36.0, 3532787.0)	(37.0, 6319462.0)	(38.0, 14580349.0)	(39.0, 103850198.0)	(40.0, 99476289.0)			
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 02_trimmed | TEAD1-1_R2_001_val_2.fq.gz	(9.0, 19.0)	(10.0, 104.0)	(11.0, 365.0)	(12.0, 1735.0)	(13.0, 7526.0)	(14.0, 30647.0)	(15.0, 78624.0)	(16.0, 114761.0)	(17.0, 125141.0)	(18.0, 128727.0)	(19.0, 136000.0)	(20.0, 149936.0)	(21.0, 168354.0)	(22.0, 193944.0)	(23.0, 224199.0)	(24.0, 261841.0)	(25.0, 302897.0)	(26.0, 345874.0)	(27.0, 391278.0)	(28.0, 444664.0)	(29.0, 502997.0)	(30.0, 585855.0)	(31.0, 685834.0)	(32.0, 824803.0)	(33.0, 1033891.0)	(34.0, 1364136.0)	(35.0, 1973656.0)	(36.0, 3087422.0)	(37.0, 5532336.0)	(38.0, 12882579.0)	(39.0, 95735095.0)	(40.0, 109933875.0)
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 02_trimmed | TEAD1-2_R1_001_val_1.fq.gz	(13.0, 11.0)	(14.0, 217.0)	(15.0, 1668.0)	(16.0, 3627.0)	(17.0, 4725.0)	(18.0, 6409.0)	(19.0, 9660.0)	(20.0, 13952.0)	(21.0, 19386.0)	(22.0, 26344.0)	(23.0, 35476.0)	(24.0, 47310.0)	(25.0, 63101.0)	(26.0, 80652.0)	(27.0, 100886.0)	(28.0, 123166.0)	(29.0, 145681.0)	(30.0, 176525.0)	(31.0, 210911.0)	(32.0, 259639.0)	(33.0, 328552.0)	(34.0, 432575.0)	(35.0, 635157.0)	(36.0, 1000585.0)	(37.0, 1809213.0)	(38.0, 4177818.0)	(39.0, 32393795.0)	(40.0, 26764163.0)				
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 02_trimmed | TEAD1-2_R2_001_val_2.fq.gz	(9.0, 2.0)	(10.0, 13.0)	(11.0, 66.0)	(12.0, 295.0)	(13.0, 1585.0)	(14.0, 6581.0)	(15.0, 16650.0)	(16.0, 24602.0)	(17.0, 27871.0)	(18.0, 29897.0)	(19.0, 32730.0)	(20.0, 37341.0)	(21.0, 42205.0)	(22.0, 49462.0)	(23.0, 57324.0)	(24.0, 66765.0)	(25.0, 78966.0)	(26.0, 89885.0)	(27.0, 102668.0)	(28.0, 116730.0)	(29.0, 132506.0)	(30.0, 155496.0)	(31.0, 181906.0)	(32.0, 219384.0)	(33.0, 272557.0)	(34.0, 355383.0)	(35.0, 513480.0)	(36.0, 800134.0)	(37.0, 1465121.0)	(38.0, 3450596.0)	(39.0, 29728041.0)	(40.0, 30814962.0)
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 02_trimmed | TEAD1-3_R1_001_val_1.fq.gz	(13.0, 13.0)	(14.0, 284.0)	(15.0, 1938.0)	(16.0, 4539.0)	(17.0, 5278.0)	(18.0, 7201.0)	(19.0, 10499.0)	(20.0, 14918.0)	(21.0, 20720.0)	(22.0, 27610.0)	(23.0, 37567.0)	(24.0, 50191.0)	(25.0, 66960.0)	(26.0, 86101.0)	(27.0, 107903.0)	(28.0, 132420.0)	(29.0, 159103.0)	(30.0, 192414.0)	(31.0, 234381.0)	(32.0, 290492.0)	(33.0, 362259.0)	(34.0, 484463.0)	(35.0, 709594.0)	(36.0, 1120789.0)	(37.0, 2028777.0)	(38.0, 4720270.0)	(39.0, 35176681.0)	(40.0, 28613602.0)				
