Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | IggMs_R1_001.fastq.gz	(1.0, 4.709847025382754)	(2.0, 2.0658327456145993)	(3.0, 2.462587584170767)	(4.0, 2.6753055019476104)	(5.0, 2.912695888275733)	(6.0, 2.8500269868772974)	(7.0, 2.7023844637908323)	(8.0, 2.5084235125030805)	(9.0, 2.132387337274869)	('>10', 30.716715504136914)	('>50', 13.339060483943884)	('>100', 21.496504713116813)	('>500', 3.9095597249679632)	('>1k', 4.423911685350997)	('>5k', 0.6868438129809793)	('>10k+', 0.4079130296647008)
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | IggMs_R2_001.fastq.gz	(1.0, 3.9089881721919797)	(2.0, 1.8887085497749694)	(3.0, 2.34477788101848)	(4.0, 2.7386277273995367)	(5.0, 2.910845786600725)	(6.0, 2.8356935415676987)	(7.0, 2.7730376150590477)	(8.0, 2.510955617527423)	(9.0, 2.243945893708717)	('>10', 31.200184882316112)	('>50', 13.61231753111198)	('>100', 21.39363379290282)	('>500', 3.9391900811585367)	('>1k', 4.490077949764424)	('>5k', 0.6905073340760909)	('>10k+', 0.518507643821663)
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | IggRb_R1_001.fastq.gz	(1.0, 4.249709506839076)	(2.0, 0.9079018109158936)	(3.0, 0.8126751002984425)	(4.0, 0.9611190202859584)	(5.0, 1.0047200338820657)	(6.0, 1.10990995646944)	(7.0, 1.2581135195746809)	(8.0, 1.393180936322419)	(9.0, 1.5043508519090243)	('>10', 49.05408996593069)	('>50', 11.458571914542484)	('>100', 15.725503559474161)	('>500', 3.3518340114116336)	('>1k', 5.6512369692758)	('>5k', 1.179145360255795)	('>10k+', 0.3779374826124771)
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | IggRb_R2_001.fastq.gz	(1.0, 3.613895899492124)	(2.0, 0.7468343791357109)	(3.0, 0.7643619185203254)	(4.0, 0.9018732373723656)	(5.0, 1.010278806843257)	(6.0, 1.1375673165323112)	(7.0, 1.2285525728884552)	(8.0, 1.3562564234560905)	(9.0, 1.4484853768293404)	('>10', 49.85802754238342)	('>50', 11.498568066747254)	('>100', 15.703123700925396)	('>500', 3.415492992358055)	('>1k', 5.701589596688439)	('>5k', 1.109995227942927)	('>10k+', 0.5050969418845325)
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | TEAD1-1_R1_001.fastq.gz	(1.0, 3.401913391243161)	(2.0, 0.7396840363708472)	(3.0, 0.4529756998751005)	(4.0, 0.34469892575298966)	(5.0, 0.3207885613065347)	(6.0, 0.2879785505007862)	(7.0, 0.2978265353633552)	(8.0, 0.3396920540223352)	(9.0, 0.3121997682238389)	('>10', 18.089502483575693)	('>50', 19.8611347194243)	('>100', 31.83420851309746)	('>500', 8.906071703155916)	('>1k', 9.415506384425582)	('>5k', 2.506020079817838)	('>10k+', 2.8897985938445054)
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | TEAD1-1_R2_001.fastq.gz	(1.0, 3.1518981434620468)	(2.0, 0.42354351733775675)	(3.0, 0.28183904957567607)	(4.0, 0.2765874910020379)	(5.0, 0.25625932050626543)	(6.0, 0.27317215105911413)	(7.0, 0.2874316489482513)	(8.0, 0.3105714161854322)	(9.0, 0.31597104729317194)	('>10', 18.34228254965837)	('>50', 20.008502446722133)	('>100', 32.15833994002115)	('>500', 8.944817777382031)	('>1k', 9.51608755733352)	('>5k', 2.4936933539252286)	('>10k+', 2.9590025895879566)
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | TEAD1-2_R1_001.fastq.gz	(1.0, 4.050942323510845)	(2.0, 1.1733292972633411)	(3.0, 1.1507575917259214)	(4.0, 1.356313144744065)	(5.0, 1.5803233717864689)	(6.0, 1.7067516509607532)	(7.0, 1.9359436102097678)	(8.0, 2.0892033995362245)	(9.0, 2.0854378260985724)	('>10', 36.921533296341686)	('>50', 15.12253409600263)	('>100', 22.97340972338483)	('>500', 3.535440878698342)	('>1k', 3.318290595797783)	('>5k', 0.6200833277585961)	('>10k+', 0.37970586618024826)
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | TEAD1-2_R2_001.fastq.gz	(1.0, 3.2701129261113944)	(2.0, 0.9645966698045153)	(3.0, 1.0809732975795376)	(4.0, 1.3511845643711193)	(5.0, 1.5983158399752113)	(6.0, 1.7417410895324141)	(7.0, 1.9198259891431497)	(8.0, 2.104545573378784)	(9.0, 2.158886572131237)	('>10', 37.49612935149114)	('>50', 15.340166036544096)	('>100', 22.94165913535336)	('>500', 3.622721422671977)	('>1k', 3.346628076166738)	('>5k', 0.5799307675398846)	('>10k+', 0.48258268820537303)
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | TEAD1-3_R1_001.fastq.gz	(1.0, 4.003231444249423)	(2.0, 0.8181308639602107)	(3.0, 0.6515381518430756)	(4.0, 0.6765754913784796)	(5.0, 0.701649555253628)	(6.0, 0.7495285525678672)	(7.0, 0.8521623595277414)	(8.0, 0.9129923191860713)	(9.0, 0.9903415825912204)	('>10', 44.46791024924805)	('>50', 15.808908920564205)	('>100', 21.213052578408504)	('>500', 3.399238472849555)	('>1k', 3.917596121399726)	('>5k', 0.49842827086150976)	('>10k+', 0.33871506611037494)
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 01_fastqc | TEAD1-3_R2_001.fastq.gz	(1.0, 3.4942214978341464)	(2.0, 0.635704553068615)	(3.0, 0.5835419660048224)	(4.0, 0.6566336808546474)	(5.0, 0.7125651479063484)	(6.0, 0.7603934499642345)	(7.0, 0.8092027420041262)	(8.0, 0.9127392374932956)	(9.0, 0.9544408408764882)	('>10', 44.91698525000164)	('>50', 16.060634920592616)	('>100', 21.296431684068434)	('>500', 3.3602512581494937)	('>1k', 3.956501936657407)	('>5k', 0.5084659082234958)	('>10k+', 0.3812859263002059)
