Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
IggMs_R1_001	(1, 38.93433854466025)	(2, 38.82653120544891)	(3, 39.225770304481024)	(4, 39.21246424755929)	(5, 39.18435190118684)	(6, 39.24868664324783)	(7, 39.265076449983894)	(8, 39.27845566129883)	(9, 39.29768677569917)	(10, 39.34018366054243)	(15, 39.39972683328504)	(20, 39.44261520132037)	(25, 39.432998698339404)	(30, 39.410211591060694)	(35, 39.460737762545776)	(40, 39.394755708533225)	(45, 39.3128597002284)	(50, 39.36046699320998)	(55, 39.30840169028263)	(60, 39.280647272200746)	(65, 39.32804373032592)	(70, 39.242021951558286)	(75, 39.23256249302662)	(80, 39.17395654001326)	(85, 38.930115517106074)	(90, 38.37783298864644)	(95, 37.433067999551575)	(100, 36.07646485857572)	(105, 34.69414477757428)	(110, 33.388786147514374)	(115, 32.479457928328394)	(120, 31.24788803995449)	(125, 30.926566653313177)	(130, 30.118694175726326)	(135, 30.517971296547636)	(140, 29.776560082588663)	(145, 30.322162641145702)	(150, 31.26370075226564)
IggMs_R1_001_val_1	(1, 38.937884634838916)	(2, 38.83075255741377)	(3, 39.230877640808195)	(4, 39.21772786784004)	(5, 39.19010950876851)	(6, 39.254612911241324)	(7, 39.271824241014855)	(8, 39.28469369624207)	(9, 39.30369332613626)	(10, 39.34686964661241)	(15, 39.4066757416853)	(20, 39.4501667308597)	(25, 39.441848705862505)	(30, 39.420352249047866)	(35, 39.47320500242097)	(40, 39.414994658237696)	(45, 39.341934717886616)	(50, 39.392870331581875)	(55, 39.35105937864012)	(60, 39.33511313481058)	(65, 39.37340122892547)	(70, 39.30458743328403)	(75, 39.30095351443039)	(80, 39.28765008246446)	(85, 39.27162350354293)	(90, 39.27451257451376)	(95, 39.24846434039115)	(100, 39.23346285650424)	(105, 39.19525568315574)	(110, 39.16161353623572)	(115, 39.175975015018025)	(120, 39.03211332192476)	(125, 39.14087436217951)	(130, 38.88391214040206)	(135, 39.06534773445598)	(140, 38.82774738988836)	(145, 38.99340564507911)	(150, 39.47422459915866)
IggMs_R2_001	(1, 39.07588946515507)	(2, 39.0983318486443)	(3, 39.296719389065395)	(4, 39.278838219122505)	(5, 39.304504187868325)	(6, 39.29974981085435)	(7, 39.298246481769)	(8, 39.30861401877211)	(9, 39.34461609657546)	(10, 39.395779214296596)	(15, 39.41249192320714)	(20, 39.425032654308026)	(25, 39.39569249390389)	(30, 39.40217191344051)	(35, 39.40066196529074)	(40, 39.38737507899547)	(45, 39.35451821695015)	(50, 39.40897032312201)	(55, 39.4910006323)	(60, 39.39675624369103)	(65, 39.28855858424769)	(70, 39.29054251569818)	(75, 39.410812124035495)	(80, 39.22941821043897)	(85, 39.30667758653498)	(90, 39.22314247705707)	(95, 39.14631604438097)	(100, 39.088081288612464)	(105, 38.890344490216656)	(110, 38.709641038636576)	(115, 38.662785401790735)	(120, 38.52048510904565)	(125, 38.681040184572694)	(130, 38.50956572646201)	(135, 38.56640317307075)	(140, 38.4499337764286)	(145, 38.493921497643754)	(150, 38.451291609398474)
IggMs_R2_001_val_2	(1, 39.08198694353538)	(2, 39.10626046554512)	(3, 39.30587083412347)	(4, 39.28842269216923)	(5, 39.314661804366324)	(6, 39.310118699072675)	(7, 39.30900423023552)	(8, 39.319446083616704)	(9, 39.355405799375326)	(10, 39.4073805626161)	(15, 39.42466376211654)	(20, 39.438025100894336)	(25, 39.40974375333612)	(30, 39.41730134890433)	(35, 39.416903632523564)	(40, 39.40461640025189)	(45, 39.370242240857884)	(50, 39.42333184532556)	(55, 39.493505317868056)	(60, 39.39812169532762)	(65, 39.273833431155396)	(70, 39.27108972357742)	(75, 39.391726046723875)	(80, 39.19012490063581)	(85, 39.28641519398063)	(90, 39.22197109387618)	(95, 39.20647376602297)	(100, 39.18970689634013)	(105, 39.157012416479844)	(110, 39.14121066836607)	(115, 39.218955096802404)	(120, 39.256943556000905)	(125, 39.259682093751884)	(130, 39.20571144298175)	(135, 39.11454016016995)	(140, 39.00937051816848)	(145, 38.998659975733716)	(150, 39.21610038044474)
IggRb_R1_001	(1, 38.918253635391075)	(2, 38.81297864962769)	(3, 39.22269337752993)	(4, 39.17746107828347)	(5, 39.164166499269015)	(6, 39.22936417064359)	(7, 39.24414653646966)	(8, 39.2559807766692)	(9, 39.26700699806127)	(10, 39.31843171724974)	(15, 39.36781989737363)	(20, 39.41319371421348)	(25, 39.39574826656447)	(30, 39.36677305154754)	(35, 39.421731253177114)	(40, 39.35682830912297)	(45, 39.276172952012516)	(50, 39.32644921974149)	(55, 39.276374275551504)	(60, 39.244577077903635)	(65, 39.29353880512066)	(70, 39.20745416916859)	(75, 39.20238860185593)	(80, 39.17153632512984)	(85, 39.04098789664234)	(90, 38.771306347804114)	(95, 38.20770828709265)	(100, 37.18884286824715)	(105, 36.07851571834871)	(110, 34.876209599970174)	(115, 33.96757265152282)	(120, 32.65138536517762)	(125, 32.13394231206023)	(130, 31.119220499211643)	(135, 31.268790938063262)	(140, 30.367825557457422)	(145, 30.65240875234317)	(150, 31.56604016678773)
IggRb_R1_001_val_1	(1, 38.925301651853)	(2, 38.82106291056804)	(3, 39.23234807944005)	(4, 39.18812082276774)	(5, 39.175757058624576)	(6, 39.24125544285127)	(7, 39.2567375119268)	(8, 39.26872328654875)	(9, 39.27967647945153)	(10, 39.332116179144755)	(15, 39.38219785420811)	(20, 39.42841049242138)	(25, 39.41315057833434)	(30, 39.38564823016388)	(35, 39.44308061776799)	(40, 39.38463210882501)	(45, 39.308422019819446)	(50, 39.360757066381055)	(55, 39.316678776675595)	(60, 39.29758987855836)	(65, 39.33668159798857)	(70, 39.266142298435874)	(75, 39.26164425418206)	(80, 39.24594271699063)	(85, 39.22780201498821)	(90, 39.22761191357965)	(95, 39.20053296693029)	(100, 39.18046050457333)	(105, 39.1385184621155)	(110, 39.100276114035765)	(115, 39.115965365845625)	(120, 38.96464663034932)	(125, 39.072047685638175)	(130, 38.80761707783114)	(135, 38.99135175377601)	(140, 38.74507168820721)	(145, 38.9171670087066)	(150, 39.43067512939442)
IggRb_R2_001	(1, 39.09741151442377)	(2, 39.08504838495972)	(3, 39.28830885979952)	(4, 39.231787204159296)	(5, 39.27248475648148)	(6, 39.26517556109106)	(7, 39.25707939397365)	(8, 39.271481610469905)	(9, 39.309687036577735)	(10, 39.3626099855254)	(15, 39.3700360247595)	(20, 39.38279120026834)	(25, 39.34953065088034)	(30, 39.355874346325805)	(35, 39.35226465423513)	(40, 39.336801420005294)	(45, 39.30037322921094)	(50, 39.356395817966806)	(55, 39.43959202264814)	(60, 39.33709108238765)	(65, 39.22947301721662)	(70, 39.228280828745994)	(75, 39.35353656433502)	(80, 39.1687755650153)	(85, 39.25093128759018)	(90, 39.178383160488195)	(95, 39.122603741454874)	(100, 39.09377403646722)	(105, 38.925545552957246)	(110, 38.847609801014734)	(115, 38.765753548327766)	(120, 38.60022302465982)	(125, 38.73887901792524)	(130, 38.43535940516921)	(135, 38.555346523364044)	(140, 38.36644993081664)	(145, 38.453925496713815)	(150, 38.37517711978391)
IggRb_R2_001_val_2	(1, 39.108596544614066)	(2, 39.09913298110482)	(3, 39.30437503785132)	(4, 39.24898317172342)	(5, 39.29070840465442)	(6, 39.28365494329684)	(7, 39.276398847901596)	(8, 39.29105788979343)	(9, 39.32921708020443)	(10, 39.38330273806081)	(15, 39.39183454188345)	(20, 39.405724515583714)	(25, 39.37396568309485)	(30, 39.38154419086177)	(35, 39.37976922493327)	(40, 39.36564213539574)	(45, 39.329199930406546)	(50, 39.385229871987875)	(55, 39.45888215713074)	(60, 39.359662944975)	(65, 39.23398279982173)	(70, 39.22892102007817)	(75, 39.349982097391205)	(80, 39.14597550900855)	(85, 39.23742299534182)	(90, 39.169284825145354)	(95, 39.15084617504839)	(100, 39.13047973280682)	(105, 39.09382046876548)	(110, 39.07287822849797)	(115, 39.14859561531379)	(120, 39.18105022183571)	(125, 39.179561975973975)	(130, 39.12108902813475)	(135, 39.02623074927847)	(140, 38.91872505572456)	(145, 38.90065942839909)	(150, 39.16060119252223)
TEAD1-1_R1_001	(1, 38.91182774686761)	(2, 38.807219364598886)	(3, 39.207253415486726)	(4, 39.183197049706145)	(5, 39.16251297807249)	(6, 39.23281628988146)	(7, 39.24393333932037)	(8, 39.261747680413684)	(9, 39.26730142161784)	(10, 39.32064408952341)	(15, 39.379555609829495)	(20, 39.4255417167004)	(25, 39.417598817854945)	(30, 39.394071544207)	(35, 39.452459710915974)	(40, 39.39165157853943)	(45, 39.30093390121724)	(50, 39.340072404667595)	(55, 39.28549751836527)	(60, 39.26260873588704)	(65, 39.309248181757226)	(70, 39.228002305645965)	(75, 39.22036872732737)	(80, 39.18043669211865)	(85, 39.0008260798567)	(90, 38.604333879170156)	(95, 37.74214081603809)	(100, 36.413434392926426)	(105, 34.7782746164052)	(110, 33.21576813415296)	(115, 31.928891150945162)	(120, 30.442227685012597)	(125, 29.776900333073183)	(130, 28.78766340153813)	(135, 28.899424244822818)	(140, 28.091863816003432)	(145, 28.624216889110784)	(150, 29.58372835058595)
TEAD1-1_R1_001_val_1	(1, 38.915879180413384)	(2, 38.81221492438444)	(3, 39.21365751353804)	(4, 39.18936797719983)	(5, 39.1693056094224)	(6, 39.23974136215429)	(7, 39.25299236627289)	(8, 39.26892546680311)	(9, 39.27407435850709)	(10, 39.32853031548716)	(15, 39.38757549169362)	(20, 39.434570672892136)	(25, 39.42763512429484)	(30, 39.4066903904316)	(35, 39.465967844370496)	(40, 39.41256074498805)	(45, 39.34041048214431)	(50, 39.39177447502775)	(55, 39.34660935146518)	(60, 39.33097948765641)	(65, 39.36726568526025)	(70, 39.29767315494845)	(75, 39.291175431056196)	(80, 39.27720544668932)	(85, 39.259131482141086)	(90, 39.260603143275986)	(95, 39.23358100357336)	(100, 39.218387346143786)	(105, 39.178977450204606)	(110, 39.14625485391575)	(115, 39.15721048999891)	(120, 39.00885090038607)	(125, 39.120415464075435)	(130, 38.86466991000718)	(135, 39.04568490939498)	(140, 38.80778371680018)	(145, 38.97773132177459)	(150, 39.46316301920436)
