## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva/results/04_filtered/TESmut-1_with_rg.bam] OUTPUT=/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva/results/04_filtered/TESmut-1_dedup.bam METRICS_FILE=/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva/results/04_filtered/TESmut-1_dedup_metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Aug 29 17:10:33 CEST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	38086781	0	60699716	0	26837916	665411	0.704652	11732055

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.002368	4822398	0	5000295
2.0	1.041375	2413199	467875	2351254
3.0	1.042893	1424059	49758	1380866
4.0	1.042952	879227	10669	854211
5.0	1.042954	550892	4075	535361
6.0	1.042955	347673	2021	337566
7.0	1.042955	219223	1220	212557
8.0	1.042955	139580	789	135498
9.0	1.042955	91349	528	88503
10.0	1.042955	61695	375	59966
11.0	1.042955	43205	255	41970
12.0	1.042955	31582	174	30758
13.0	1.042955	23961	160	23237
14.0	1.042955	19058	98	18739
15.0	1.042955	15539	80	15234
16.0	1.042955	13177	72	12846
17.0	1.042955	11118	48	10859
18.0	1.042955	9438	36	9250
19.0	1.042955	8228	33	8000
20.0	1.042955	7229	30	7194
21.0	1.042955	6586	40	6418
22.0	1.042955	5721	22	5625
23.0	1.042955	5250	26	5128
24.0	1.042955	4657	17	4551
25.0	1.042955	4384	14	4281
26.0	1.042955	3864	8	3801
27.0	1.042955	3578	10	3468
28.0	1.042955	3256	13	3182
29.0	1.042955	3040	14	3002
30.0	1.042955	2887	7	2794
31.0	1.042955	2552	8	2524
32.0	1.042955	2466	5	2424
33.0	1.042955	2276	5	2264
34.0	1.042955	2151	3	2062
35.0	1.042955	2009	1	1971
36.0	1.042955	1990	4	1939
37.0	1.042955	1818	2	1801
38.0	1.042955	1716	3	1660
39.0	1.042955	1611	2	1603
40.0	1.042955	1489	5	1474
41.0	1.042955	1422	4	1464
42.0	1.042955	1379	3	1312
43.0	1.042955	1361	0	1320
44.0	1.042955	1274	3	1207
45.0	1.042955	1158	3	1138
46.0	1.042955	1110	2	1100
47.0	1.042955	1102	0	1083
48.0	1.042955	1004	0	971
49.0	1.042955	1022	2	1039
50.0	1.042955	953	1	918
51.0	1.042955	940	0	917
52.0	1.042955	898	1	902
53.0	1.042955	812	0	778
54.0	1.042955	809	1	793
55.0	1.042955	806	0	782
56.0	1.042955	703	0	705
57.0	1.042955	722	0	679
58.0	1.042955	676	0	655
59.0	1.042955	711	0	704
60.0	1.042955	656	2	671
61.0	1.042955	667	0	627
62.0	1.042955	622	0	606
63.0	1.042955	552	1	584
64.0	1.042955	608	0	558
65.0	1.042955	525	0	533
66.0	1.042955	584	0	543
67.0	1.042955	528	0	530
68.0	1.042955	491	1	524
69.0	1.042955	506	0	476
70.0	1.042955	508	1	526
71.0	1.042955	491	0	459
72.0	1.042955	445	0	455
73.0	1.042955	446	0	427
74.0	1.042955	418	0	437
75.0	1.042955	441	0	384
76.0	1.042955	383	0	400
77.0	1.042955	401	0	386
78.0	1.042955	405	0	406
79.0	1.042955	360	0	357
80.0	1.042955	374	0	366
81.0	1.042955	394	0	375
82.0	1.042955	355	0	363
83.0	1.042955	352	1	337
84.0	1.042955	333	0	317
85.0	1.042955	346	0	313
86.0	1.042955	280	0	291
87.0	1.042955	311	0	299
88.0	1.042955	290	0	291
89.0	1.042955	297	0	303
90.0	1.042955	282	0	299
91.0	1.042955	305	0	265
92.0	1.042955	252	0	261
93.0	1.042955	279	0	254
94.0	1.042955	239	0	259
95.0	1.042955	276	0	255
96.0	1.042955	269	0	244
97.0	1.042955	228	0	256
98.0	1.042955	240	0	213
99.0	1.042955	224	0	208
100.0	1.042955	212	0	253
101.0	0	205	0	189
102.0	0	231	0	220
103.0	0	214	0	193
104.0	0	201	0	216
105.0	0	212	0	218
106.0	0	190	0	190
107.0	0	196	0	182
108.0	0	197	0	178
109.0	0	191	0	187
110.0	0	178	0	175
111.0	0	166	0	202
112.0	0	183	1	177
113.0	0	207	0	170
114.0	0	164	0	167
115.0	0	177	0	168
116.0	0	155	0	159
117.0	0	140	0	147
118.0	0	154	0	161
119.0	0	150	0	142
120.0	0	160	0	171
121.0	0	166	0	141
122.0	0	143	0	127
123.0	0	141	0	168
124.0	0	145	1	136
125.0	0	161	0	146
126.0	0	155	0	175
127.0	0	137	0	131
128.0	0	140	0	125
129.0	0	153	0	129
130.0	0	132	0	139
131.0	0	116	0	124
132.0	0	130	0	149
133.0	0	123	0	110
134.0	0	133	0	116
135.0	0	114	0	120
136.0	0	132	0	120
137.0	0	114	0	125
138.0	0	117	0	112
139.0	0	107	0	92
140.0	0	98	0	102
141.0	0	89	0	91
142.0	0	99	0	102
143.0	0	110	0	116
144.0	0	111	0	113
145.0	0	121	0	117
146.0	0	103	0	95
147.0	0	113	0	105
148.0	0	133	0	103
149.0	0	81	0	85
150.0	0	93	0	96
151.0	0	90	0	92
152.0	0	107	0	92
153.0	0	100	0	104
154.0	0	89	0	97
155.0	0	88	0	89
156.0	0	98	0	82
157.0	0	80	0	85
158.0	0	82	0	81
159.0	0	82	0	80
160.0	0	86	0	67
161.0	0	73	0	79
162.0	0	76	0	79
163.0	0	82	0	89
164.0	0	66	0	75
165.0	0	83	0	76
166.0	0	70	0	58
167.0	0	74	0	89
168.0	0	69	0	70
169.0	0	70	0	76
170.0	0	77	0	65
171.0	0	73	0	69
172.0	0	77	0	74
173.0	0	65	0	81
174.0	0	83	0	67
175.0	0	78	0	79
176.0	0	76	0	68
177.0	0	75	0	77
178.0	0	65	0	61
179.0	0	74	0	60
180.0	0	73	0	86
181.0	0	57	0	78
182.0	0	82	0	58
183.0	0	58	0	63
184.0	0	62	0	58
185.0	0	55	0	62
186.0	0	65	0	72
187.0	0	61	0	56
188.0	0	61	0	50
189.0	0	64	0	54
190.0	0	58	0	60
191.0	0	57	0	56
192.0	0	54	0	53
193.0	0	56	0	59
194.0	0	61	0	58
195.0	0	57	0	52
196.0	0	60	0	68
197.0	0	66	0	47
198.0	0	48	0	51
199.0	0	53	0	46
200.0	0	43	0	51
201.0	0	45	0	49
202.0	0	52	0	63
203.0	0	69	0	60
204.0	0	52	0	47
205.0	0	51	0	54
206.0	0	60	0	56
207.0	0	51	0	50
208.0	0	52	0	45
209.0	0	47	0	47
210.0	0	49	0	47
211.0	0	46	0	47
212.0	0	30	0	41
213.0	0	49	0	41
214.0	0	51	0	43
215.0	0	43	0	44
216.0	0	39	0	43
217.0	0	37	0	35
218.0	0	39	0	41
219.0	0	30	0	43
220.0	0	47	0	40
221.0	0	33	0	33
222.0	0	38	0	40
223.0	0	44	0	52
224.0	0	39	0	50
225.0	0	59	0	49
226.0	0	42	0	34
227.0	0	47	0	40
228.0	0	44	0	37
229.0	0	33	0	32
230.0	0	25	0	25
231.0	0	40	0	36
232.0	0	37	0	38
233.0	0	39	0	37
234.0	0	50	0	38
235.0	0	35	0	41
236.0	0	41	0	46
237.0	0	39	0	37
238.0	0	40	0	45
239.0	0	30	0	37
240.0	0	45	0	41
241.0	0	37	0	44
242.0	0	31	0	28
243.0	0	40	0	35
244.0	0	34	0	29
245.0	0	34	0	25
246.0	0	37	0	38
247.0	0	38	0	27
248.0	0	22	0	18
249.0	0	35	0	38
250.0	0	23	0	24
251.0	0	22	0	29
252.0	0	33	0	38
253.0	0	32	0	42
254.0	0	32	0	29
255.0	0	28	0	37
256.0	0	32	0	37
257.0	0	39	0	39
258.0	0	41	0	28
259.0	0	36	0	28
260.0	0	28	0	27
261.0	0	34	0	30
262.0	0	28	0	25
263.0	0	35	0	28
264.0	0	23	0	23
265.0	0	25	0	40
266.0	0	27	0	31
267.0	0	41	0	37
268.0	0	34	0	21
269.0	0	27	0	22
270.0	0	19	0	34
271.0	0	24	0	27
272.0	0	30	0	26
273.0	0	30	0	30
274.0	0	32	0	32
275.0	0	25	0	31
276.0	0	32	0	20
277.0	0	22	0	18
278.0	0	24	0	21
279.0	0	19	0	28
280.0	0	31	0	24
281.0	0	24	0	22
282.0	0	30	0	20
283.0	0	17	0	25
284.0	0	22	0	23
285.0	0	22	0	21
286.0	0	32	0	27
287.0	0	20	0	17
288.0	0	22	0	30
289.0	0	18	0	15
290.0	0	14	0	22
291.0	0	27	0	33
292.0	0	33	0	21
293.0	0	16	0	25
294.0	0	25	0	24
295.0	0	17	0	24
296.0	0	30	0	14
297.0	0	14	0	19
298.0	0	25	0	18
299.0	0	17	0	19
300.0	0	25	0	20
301.0	0	20	0	28
302.0	0	27	0	21
303.0	0	15	0	16
304.0	0	22	0	18
305.0	0	19	0	19
306.0	0	22	0	25
307.0	0	23	0	20
308.0	0	16	0	20
309.0	0	17	0	28
310.0	0	22	0	23
311.0	0	30	0	27
312.0	0	26	0	21
313.0	0	19	0	24
314.0	0	24	0	24
315.0	0	23	0	18
316.0	0	21	0	20
317.0	0	17	0	16
318.0	0	19	0	25
319.0	0	18	0	16
320.0	0	21	0	20
321.0	0	23	0	26
322.0	0	21	0	25
323.0	0	20	0	19
324.0	0	21	0	14
325.0	0	30	0	14
326.0	0	15	0	18
327.0	0	19	0	23
328.0	0	22	0	18
329.0	0	13	0	15
330.0	0	17	0	20
331.0	0	17	0	12
332.0	0	15	0	15
333.0	0	20	0	18
334.0	0	16	0	12
335.0	0	22	0	9
336.0	0	15	0	13
337.0	0	10	0	15
338.0	0	18	0	16
339.0	0	9	0	16
340.0	0	13	0	22
341.0	0	16	0	10
342.0	0	15	0	12
343.0	0	17	0	16
344.0	0	13	0	14
345.0	0	19	0	16
346.0	0	9	0	11
347.0	0	16	0	20
348.0	0	18	0	18
349.0	0	9	0	12
350.0	0	18	0	14
351.0	0	13	0	16
352.0	0	14	0	15
353.0	0	15	0	11
354.0	0	18	0	16
355.0	0	9	0	10
356.0	0	15	0	25
357.0	0	11	0	12
358.0	0	13	0	8
359.0	0	13	0	17
360.0	0	10	0	15
361.0	0	19	0	11
362.0	0	15	0	7
363.0	0	12	0	18
364.0	0	20	0	11
365.0	0	13	0	21
366.0	0	16	0	11
367.0	0	10	0	16
368.0	0	19	0	11
369.0	0	14	0	13
370.0	0	15	0	15
371.0	0	14	0	13
372.0	0	9	0	13
373.0	0	13	0	13
374.0	0	14	0	15
375.0	0	14	0	12
376.0	0	16	0	12
377.0	0	12	0	9
378.0	0	14	0	9
379.0	0	12	0	19
380.0	0	11	0	10
381.0	0	10	0	18
382.0	0	12	0	11
383.0	0	11	0	14
384.0	0	15	0	10
385.0	0	15	0	11
386.0	0	13	0	9
387.0	0	17	0	6
388.0	0	10	0	8
389.0	0	7	0	13
390.0	0	11	0	11
391.0	0	7	0	12
392.0	0	17	0	19
393.0	0	11	0	11
394.0	0	14	0	10
395.0	0	9	0	18
396.0	0	13	0	13
397.0	0	14	0	3
398.0	0	13	0	13
399.0	0	11	0	8
400.0	0	9	0	11
401.0	0	10	0	10
402.0	0	8	0	8
403.0	0	9	0	13
