## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva/results/04_filtered/TEAD1-1_with_rg.bam] OUTPUT=/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva/results/04_filtered/TEAD1-1_dedup.bam METRICS_FILE=/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva/results/04_filtered/TEAD1-1_dedup_metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Aug 29 17:56:55 CEST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	56134193	0	362229844	0	53268065	940647	0.948941	2866128

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1	556043	0	609294
2.0	1	287160	452552	288637
3.0	1	205371	105147	200587
4.0	1	159592	29170	153213
5.0	1	128266	10770	122568
6.0	1	106434	5040	101314
7.0	1	89641	2974	85469
8.0	1	77627	1929	74100
9.0	1	67966	1355	65897
10.0	1	60714	994	58177
11.0	1	54444	731	52633
12.0	1	49090	580	47595
13.0	1	45234	430	43479
14.0	1	41201	377	40109
15.0	1	38191	278	37418
16.0	1	35864	245	34832
17.0	1	33558	197	32882
18.0	1	31122	159	30474
19.0	1	29439	154	28893
20.0	1	27825	120	27288
21.0	1	26625	97	26257
22.0	1	25487	106	24857
23.0	1	24232	79	23927
24.0	1	22659	58	22265
25.0	1	21886	49	21638
26.0	1	21073	43	20652
27.0	1	20292	34	19977
28.0	1	19571	42	19325
29.0	1	18741	34	18400
30.0	1	17909	32	17829
31.0	1	17289	19	17069
32.0	1	16615	29	16375
33.0	1	16021	24	15938
34.0	1	15711	23	15433
35.0	1	15236	12	15069
36.0	1	14559	20	14534
37.0	1	14372	11	14124
38.0	1	13834	13	13824
39.0	1	13604	11	13441
40.0	1	13018	12	12880
41.0	1	12556	7	12339
42.0	1	12149	7	12001
43.0	1	11875	8	11959
44.0	1	11702	8	11469
45.0	1	11224	7	11179
46.0	1	11120	9	10917
47.0	1	10761	6	10737
48.0	1	10224	2	10124
49.0	1	10098	6	9938
50.0	1	9829	3	9726
51.0	1	9478	4	9415
52.0	1	9254	5	9251
53.0	1	9067	4	9049
54.0	1	8730	3	8532
55.0	1	8544	2	8425
56.0	1	8102	4	8064
57.0	1	7971	2	7925
58.0	1	7917	3	7768
59.0	1	7354	6	7389
60.0	1	7459	2	7323
61.0	1	7086	3	7037
62.0	1	6896	3	6777
63.0	1	6791	3	6710
64.0	1	6475	0	6452
65.0	1	6245	2	6080
66.0	1	5970	0	5927
67.0	1	5855	3	5646
68.0	1	5457	0	5355
69.0	1	5171	4	5271
70.0	1	5159	3	5046
71.0	1	4968	2	4808
72.0	1	4591	0	4637
73.0	1	4505	1	4333
74.0	1	4235	1	4184
75.0	1	4004	2	3941
76.0	1	3903	3	3831
77.0	1	3640	2	3498
78.0	1	3357	1	3377
79.0	1	3321	0	3218
80.0	1	3054	0	3068
81.0	1	2897	0	2836
82.0	1	2760	0	2691
83.0	1	2510	0	2459
84.0	1	2397	0	2325
85.0	1	2230	0	2137
86.0	1	2001	1	2009
87.0	1	1986	1	1881
88.0	1	1932	0	1834
89.0	1	1620	0	1572
90.0	1	1573	1	1557
91.0	1	1521	1	1443
92.0	1	1302	1	1252
