## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva/results/04_filtered/TEAD1-2_with_rg.bam] OUTPUT=/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva/results/04_filtered/TEAD1-2_dedup.bam METRICS_FILE=/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva/results/04_filtered/TEAD1-2_dedup_metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Aug 29 17:13:37 CEST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	9502517	0	118737374	0	7906296	208926	0.832021	1601045

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000369	402078	0	438404
2.0	1.003015	224592	143590	217712
3.0	1.003022	160557	21409	152096
4.0	1.003022	126198	4088	120968
5.0	1.003022	105402	1113	101947
6.0	1.003022	91483	408	89486
7.0	1.003022	79877	174	78515
8.0	1.003022	69829	121	68925
9.0	1.003022	59341	61	58311
10.0	1.003022	50388	25	49627
11.0	1.003022	42020	25	41183
12.0	1.003022	34114	9	33359
13.0	1.003022	27475	13	26913
14.0	1.003022	22150	4	21595
15.0	1.003022	17570	4	17049
16.0	1.003022	13860	6	13310
17.0	1.003022	10902	3	10606
18.0	1.003022	8721	5	8332
19.0	1.003022	6631	2	6355
20.0	1.003022	5214	0	4995
21.0	1.003022	4204	0	3987
22.0	1.003022	3264	1	3137
23.0	1.003022	2689	2	2572
24.0	1.003022	2188	1	2085
25.0	1.003022	1866	1	1756
26.0	1.003022	1495	1	1473
27.0	1.003022	1327	0	1277
28.0	1.003022	1155	1	1081
29.0	1.003022	1022	0	993
30.0	1.003022	925	0	904
31.0	1.003022	811	0	776
32.0	1.003022	748	0	727
33.0	1.003022	699	1	724
34.0	1.003022	667	1	638
35.0	1.003022	549	0	539
36.0	1.003022	583	0	568
37.0	1.003022	515	0	459
38.0	1.003022	472	0	442
39.0	1.003022	443	0	452
40.0	1.003022	413	0	403
41.0	1.003022	374	0	375
42.0	1.003022	393	0	379
43.0	1.003022	317	0	319
44.0	1.003022	350	0	322
45.0	1.003022	343	0	339
46.0	1.003022	279	0	279
47.0	1.003022	296	0	292
48.0	1.003022	292	0	308
49.0	1.003022	275	0	239
50.0	1.003022	245	0	245
51.0	1.003022	223	0	217
52.0	1.003022	222	0	205
53.0	1.003022	200	0	206
54.0	1.003022	206	0	215
55.0	1.003022	204	0	197
56.0	1.003022	204	0	182
57.0	1.003022	183	0	197
58.0	1.003022	182	1	160
59.0	1.003022	162	0	161
60.0	1.003022	136	0	152
61.0	1.003022	158	0	148
62.0	1.003022	152	0	164
63.0	1.003022	170	0	153
64.0	1.003022	157	0	146
65.0	1.003022	127	0	132
66.0	1.003022	125	0	132
67.0	1.003022	163	0	147
68.0	1.003022	125	0	113
69.0	1.003022	109	0	126
70.0	1.003022	118	0	116
71.0	1.003022	118	0	101
72.0	1.003022	105	0	93
73.0	1.003022	99	0	106
74.0	1.003022	94	0	86
75.0	1.003022	99	0	105
76.0	1.003022	90	0	92
77.0	1.003022	104	0	95
78.0	1.003022	90	0	67
79.0	1.003022	65	0	71
80.0	1.003022	69	0	74
81.0	1.003022	74	0	76
82.0	1.003022	86	0	85
