## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva/results/04_filtered/TESmut-3_with_rg.bam] OUTPUT=/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva/results/04_filtered/TESmut-3_dedup.bam METRICS_FILE=/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva/results/04_filtered/TESmut-3_dedup_metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Aug 29 17:14:15 CEST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	56061930	0	70320888	0	40912500	748198	0.729773	15599357

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.001391	6464423	0	6685081
2.0	1.028921	3120617	519453	3024077
3.0	1.029678	1838939	56091	1784748
4.0	1.029699	1165177	13042	1139978
5.0	1.029699	761482	5073	748308
6.0	1.029699	501201	2340	492672
7.0	1.029699	331298	1390	325853
8.0	1.029699	221013	873	216768
9.0	1.029699	148383	585	145549
10.0	1.029699	102113	431	99837
11.0	1.029699	72573	328	71141
12.0	1.029699	53790	228	52944
13.0	1.029699	40847	165	40021
14.0	1.029699	32381	133	31897
15.0	1.029699	26348	103	25837
16.0	1.029699	21942	73	21567
17.0	1.029699	18664	64	18278
18.0	1.029699	15559	52	15264
19.0	1.029699	13620	33	13530
20.0	1.029699	12146	38	12028
21.0	1.029699	10775	28	10627
22.0	1.029699	9652	25	9410
23.0	1.029699	8405	15	8250
24.0	1.029699	7862	22	7669
25.0	1.029699	6894	11	6830
26.0	1.029699	6427	11	6324
27.0	1.029699	5868	12	5729
28.0	1.029699	5427	9	5397
29.0	1.029699	5045	13	4898
30.0	1.029699	4531	7	4470
31.0	1.029699	4200	8	4202
32.0	1.029699	3883	4	3820
33.0	1.029699	3693	6	3633
34.0	1.029699	3427	10	3291
35.0	1.029699	3132	5	3156
36.0	1.029699	3028	3	3018
37.0	1.029699	2787	4	2786
38.0	1.029699	2648	5	2593
39.0	1.029699	2567	1	2434
40.0	1.029699	2423	4	2426
41.0	1.029699	2378	5	2301
42.0	1.029699	2108	4	2111
43.0	1.029699	2018	3	1948
44.0	1.029699	1957	1	1916
45.0	1.029699	1822	4	1795
46.0	1.029699	1813	1	1814
47.0	1.029699	1661	2	1646
48.0	1.029699	1655	2	1645
49.0	1.029699	1600	1	1593
50.0	1.029699	1496	0	1438
51.0	1.029699	1442	1	1418
52.0	1.029699	1388	1	1384
53.0	1.029699	1313	1	1285
54.0	1.029699	1293	0	1234
55.0	1.029699	1135	0	1136
56.0	1.029699	1158	0	1126
57.0	1.029699	1072	0	1089
58.0	1.029699	1063	0	1057
59.0	1.029699	995	2	1007
60.0	1.029699	1025	0	986
61.0	1.029699	930	0	973
62.0	1.029699	995	0	926
63.0	1.029699	894	0	909
64.0	1.029699	915	0	881
65.0	1.029699	873	0	876
66.0	1.029699	881	0	857
67.0	1.029699	797	0	788
68.0	1.029699	790	0	793
69.0	1.029699	766	0	772
70.0	1.029699	772	0	738
71.0	1.029699	733	1	717
72.0	1.029699	687	1	640
73.0	1.029699	653	2	642
74.0	1.029699	637	0	626
75.0	1.029699	624	1	623
76.0	1.029699	626	0	635
77.0	1.029699	625	0	611
78.0	1.029699	555	0	549
79.0	1.029699	536	0	556
80.0	1.029699	566	1	544
81.0	1.029699	554	0	532
82.0	1.029699	519	0	523
83.0	1.029699	522	0	557
84.0	1.029699	523	0	482
85.0	1.029699	476	0	477
86.0	1.029699	487	0	474
87.0	1.029699	494	0	490
88.0	1.029699	481	0	467
89.0	1.029699	459	0	434
90.0	1.029699	410	0	413
91.0	1.029699	426	0	411
92.0	1.029699	387	0	400
93.0	1.029699	419	0	429
94.0	1.029699	414	0	400
95.0	1.029699	386	0	390
96.0	1.029699	435	0	425
97.0	1.029699	391	0	376
98.0	1.029699	363	0	354
99.0	1.029699	348	0	343
100.0	1.029699	343	0	318
101.0	0	351	0	351
102.0	0	342	0	330
103.0	0	304	0	315
104.0	0	326	1	346
105.0	0	336	0	319
106.0	0	331	0	314
107.0	0	305	0	313
108.0	0	292	0	301
109.0	0	300	0	292
110.0	0	307	0	285
111.0	0	284	0	285
112.0	0	260	0	262
113.0	0	270	0	263
114.0	0	267	1	256
115.0	0	273	0	302
116.0	0	250	0	244
117.0	0	271	0	249
118.0	0	233	0	227
119.0	0	232	0	241
120.0	0	241	0	231
121.0	0	266	0	255
122.0	0	226	0	232
123.0	0	247	0	237
124.0	0	238	0	221
125.0	0	242	0	235
126.0	0	210	0	209
127.0	0	215	0	210
128.0	0	213	0	223
129.0	0	197	0	188
130.0	0	206	0	187
131.0	0	209	0	223
132.0	0	203	0	192
133.0	0	182	0	215
134.0	0	197	0	201
135.0	0	205	0	191
136.0	0	191	0	169
137.0	0	174	0	160
138.0	0	188	0	194
139.0	0	172	0	171
140.0	0	167	0	163
141.0	0	161	0	187
142.0	0	156	0	164
143.0	0	164	0	148
144.0	0	181	0	165
145.0	0	142	0	136
146.0	0	149	0	161
147.0	0	165	0	140
148.0	0	145	0	144
149.0	0	146	0	157
150.0	0	158	0	156
151.0	0	153	0	142
152.0	0	139	0	132
153.0	0	131	0	127
154.0	0	150	0	146
155.0	0	139	0	156
156.0	0	147	0	139
157.0	0	138	0	150
158.0	0	160	0	124
159.0	0	126	0	133
160.0	0	111	0	110
161.0	0	121	0	107
162.0	0	118	0	116
163.0	0	109	0	110
164.0	0	143	0	139
165.0	0	126	0	127
166.0	0	123	0	138
167.0	0	106	0	100
168.0	0	121	0	114
169.0	0	106	0	117
170.0	0	107	0	111
171.0	0	125	0	114
172.0	0	139	0	133
173.0	0	92	0	95
174.0	0	108	0	112
175.0	0	111	0	100
176.0	0	95	0	120
177.0	0	130	0	120
178.0	0	107	0	112
179.0	0	125	0	120
180.0	0	99	0	115
181.0	0	110	0	87
182.0	0	92	0	116
183.0	0	107	0	101
184.0	0	102	0	110
185.0	0	102	0	82
186.0	0	103	0	100
187.0	0	88	0	81
188.0	0	97	0	105
189.0	0	82	0	87
190.0	0	110	0	91
191.0	0	88	0	93
192.0	0	91	0	80
193.0	0	71	0	77
194.0	0	90	0	91
195.0	0	103	0	84
196.0	0	86	0	85
197.0	0	81	0	69
198.0	0	75	0	88
199.0	0	80	0	74
200.0	0	65	0	82
201.0	0	70	0	84
202.0	0	97	0	79
203.0	0	83	0	89
204.0	0	87	0	76
205.0	0	74	0	85
206.0	0	75	0	74
207.0	0	66	0	65
208.0	0	77	0	68
209.0	0	91	0	51
210.0	0	66	0	84
211.0	0	72	0	69
212.0	0	60	0	61
213.0	0	61	0	73
214.0	0	64	0	66
215.0	0	68	0	65
216.0	0	79	0	79
217.0	0	82	0	79
218.0	0	67	0	80
219.0	0	59	0	61
220.0	0	73	0	54
221.0	0	56	0	60
222.0	0	77	0	81
223.0	0	74	0	54
224.0	0	66	0	62
225.0	0	62	0	66
226.0	0	52	0	57
227.0	0	64	0	87
228.0	0	71	0	67
229.0	0	66	0	56
230.0	0	71	0	60
231.0	0	58	0	61
232.0	0	64	0	43
233.0	0	41	0	50
234.0	0	52	0	68
235.0	0	51	0	58
236.0	0	56	0	58
237.0	0	59	0	62
238.0	0	68	0	53
239.0	0	57	0	57
240.0	0	48	0	42
241.0	0	58	0	59
242.0	0	70	0	68
243.0	0	48	0	45
244.0	0	57	0	40
245.0	0	51	0	58
246.0	0	43	0	58
247.0	0	44	0	47
248.0	0	46	0	63
249.0	0	60	0	40
250.0	0	46	0	39
251.0	0	46	0	47
252.0	0	46	0	65
253.0	0	69	0	46
254.0	0	51	0	42
255.0	0	54	0	68
256.0	0	36	0	52
257.0	0	52	0	44
258.0	0	59	0	51
259.0	0	46	0	57
260.0	0	54	0	48
261.0	0	50	0	42
262.0	0	41	0	43
263.0	0	48	0	48
264.0	0	39	0	47
265.0	0	51	0	43
266.0	0	37	0	47
267.0	0	49	0	43
268.0	0	47	0	48
269.0	0	40	0	43
270.0	0	48	0	46
271.0	0	54	0	49
272.0	0	47	0	33
273.0	0	42	0	35
274.0	0	36	0	40
275.0	0	45	0	39
276.0	0	37	0	47
277.0	0	38	0	43
278.0	0	42	0	36
279.0	0	40	0	33
280.0	0	31	0	41
281.0	0	39	0	34
282.0	0	40	0	47
283.0	0	49	0	29
284.0	0	34	0	61
285.0	0	43	0	34
286.0	0	43	0	42
287.0	0	47	0	36
288.0	0	28	0	35
289.0	0	36	0	40
290.0	0	31	0	32
291.0	0	40	0	41
292.0	0	43	0	44
293.0	0	39	0	21
294.0	0	29	0	31
295.0	0	26	0	30
296.0	0	33	0	36
297.0	0	43	0	41
298.0	0	32	0	30
299.0	0	33	0	32
300.0	0	43	0	32
301.0	0	29	0	37
302.0	0	38	0	38
303.0	0	24	0	26
304.0	0	30	0	27
305.0	0	36	0	37
306.0	0	37	0	32
307.0	0	25	0	36
308.0	0	25	0	32
309.0	0	35	0	32
310.0	0	37	0	46
311.0	0	39	0	40
312.0	0	37	0	38
313.0	0	43	0	29
314.0	0	29	0	24
315.0	0	36	0	34
316.0	0	29	0	25
317.0	0	36	0	31
318.0	0	30	0	39
319.0	0	36	0	31
320.0	0	31	0	40
321.0	0	31	0	32
322.0	0	29	0	24
323.0	0	37	0	32
324.0	0	21	0	43
325.0	0	33	0	30
326.0	0	38	0	26
327.0	0	31	0	22
328.0	0	24	0	31
329.0	0	40	0	37
330.0	0	32	0	25
331.0	0	29	0	27
332.0	0	19	0	36
333.0	0	31	0	22
334.0	0	33	0	34
335.0	0	29	0	24
336.0	0	21	0	22
337.0	0	26	0	29
338.0	0	35	0	19
339.0	0	19	0	18
340.0	0	21	0	33
341.0	0	23	0	19
342.0	0	25	0	24
343.0	0	22	0	18
344.0	0	19	0	23
345.0	0	24	0	27
346.0	0	34	0	26
347.0	0	24	0	25
348.0	0	28	0	21
349.0	0	18	0	30
350.0	0	22	0	23
351.0	0	27	0	22
352.0	0	28	0	25
353.0	0	23	0	28
354.0	0	25	0	15
355.0	0	22	0	17
356.0	0	17	0	25
357.0	0	18	0	22
358.0	0	28	0	28
359.0	0	27	0	26
360.0	0	29	0	18
361.0	0	16	0	24
362.0	0	21	0	19
363.0	0	26	0	21
364.0	0	22	0	22
365.0	0	16	0	27
366.0	0	26	0	22
367.0	0	19	0	12
368.0	0	18	0	20
369.0	0	19	0	18
370.0	0	21	0	19
371.0	0	18	0	24
372.0	0	16	0	17
373.0	0	26	0	22
374.0	0	17	0	19
375.0	0	15	0	23
376.0	0	21	0	20
377.0	0	19	0	19
378.0	0	20	0	24
379.0	0	25	0	19
380.0	0	20	0	20
381.0	0	18	0	20
382.0	0	19	0	20
383.0	0	17	0	18
384.0	0	22	0	19
385.0	0	11	0	19
386.0	0	19	0	22
387.0	0	23	0	18
388.0	0	24	0	21
389.0	0	27	0	16
390.0	0	12	0	26
391.0	0	31	0	20
392.0	0	20	0	26
393.0	0	20	0	19
394.0	0	22	0	17
395.0	0	22	0	18
396.0	0	15	0	18
397.0	0	19	0	23
398.0	0	24	0	17
399.0	0	25	0	30
400.0	0	20	0	25
401.0	0	19	0	26
402.0	0	18	0	11
403.0	0	21	0	17
404.0	0	24	0	25
405.0	0	19	0	17
406.0	0	22	0	19
407.0	0	23	0	16
408.0	0	18	0	20
409.0	0	18	0	13
410.0	0	14	0	17
411.0	0	17	0	15
412.0	0	9	0	11
413.0	0	17	0	14
414.0	0	17	0	17
415.0	0	18	0	27
416.0	0	13	0	15
417.0	0	18	0	16
418.0	0	16	0	12
419.0	0	16	0	16
420.0	0	16	0	22
421.0	0	19	0	18
422.0	0	22	0	15
423.0	0	15	0	16
424.0	0	14	0	16
425.0	0	18	0	17
426.0	0	11	0	19
