## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva/results/04_filtered/IggRb_with_rg.bam] OUTPUT=/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva/results/04_filtered/IggRb_dedup.bam METRICS_FILE=/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva/results/04_filtered/IggRb_dedup_metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Aug 29 17:07:11 CEST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	27127104	0	74638254	0	24466452	470371	0.901919	2660770

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000007	550362	0	583921
2.0	1.000044	273096	301806	271577
3.0	1.000044	192681	51784	189132
4.0	1.000044	151832	10510	148871
5.0	1.000044	127241	2780	124572
6.0	1.000044	110463	1124	108563
7.0	1.000044	98906	531	97305
8.0	1.000044	90632	331	89182
9.0	1.000044	84092	219	82565
10.0	1.000044	78813	169	77775
11.0	1.000044	74713	128	73748
12.0	1.000044	70975	89	69949
13.0	1.000044	67314	64	66814
14.0	1.000044	64627	50	64050
15.0	1.000044	60917	36	60244
16.0	1.000044	57713	21	57112
17.0	1.000044	53890	26	53264
18.0	1.000044	49926	19	49528
19.0	1.000044	45996	9	45314
20.0	1.000044	42089	13	41443
21.0	1.000044	37576	14	36982
22.0	1.000044	33982	9	33349
23.0	1.000044	29970	7	29455
24.0	1.000044	26306	6	25825
25.0	1.000044	23319	4	22742
26.0	1.000044	20260	6	19772
27.0	1.000044	17670	3	17061
28.0	1.000044	15088	1	14634
29.0	1.000044	13032	1	12498
30.0	1.000044	10948	2	10475
31.0	1.000044	9289	0	9042
32.0	1.000044	7892	3	7566
33.0	1.000044	6834	0	6542
34.0	1.000044	5842	2	5550
35.0	1.000044	4807	3	4508
36.0	1.000044	4071	1	3811
37.0	1.000044	3424	0	3165
38.0	1.000044	2817	1	2771
39.0	1.000044	2471	2	2333
40.0	1.000044	2085	3	1924
41.0	1.000044	1763	1	1687
42.0	1.000044	1574	2	1485
43.0	1.000044	1368	1	1307
44.0	1.000044	1244	0	1189
45.0	1.000044	1141	0	1099
46.0	1.000044	1035	1	966
47.0	1.000044	921	0	909
48.0	1.000044	814	0	757
49.0	1.000044	789	0	774
50.0	1.000044	710	1	651
51.0	1.000044	652	0	643
52.0	1.000044	605	0	621
53.0	1.000044	585	0	576
54.0	1.000044	568	0	550
55.0	1.000044	515	0	524
56.0	1.000044	539	0	509
57.0	1.000044	474	0	463
58.0	1.000044	467	0	460
59.0	1.000044	454	1	434
60.0	1.000044	424	0	428
61.0	1.000044	392	0	371
62.0	1.000044	380	0	372
63.0	1.000044	389	0	396
64.0	1.000044	333	1	334
65.0	1.000044	343	0	323
66.0	1.000044	364	0	326
67.0	1.000044	309	0	302
68.0	1.000044	326	0	319
69.0	1.000044	299	0	286
70.0	1.000044	276	0	288
71.0	1.000044	292	0	290
72.0	1.000044	249	0	253
73.0	1.000044	265	0	276
74.0	1.000044	273	0	247
75.0	1.000044	255	0	226
76.0	1.000044	248	0	234
77.0	1.000044	227	0	235
78.0	1.000044	220	0	230
79.0	1.000044	227	0	230
80.0	1.000044	213	0	213
81.0	1.000044	207	0	191
82.0	1.000044	199	0	211
83.0	1.000044	216	0	210
84.0	1.000044	189	0	200
85.0	1.000044	204	0	172
86.0	1.000044	183	0	195
87.0	1.000044	182	0	166
88.0	1.000044	164	0	187
89.0	1.000044	171	0	164
90.0	1.000044	178	0	165
91.0	1.000044	172	0	160
92.0	1.000044	155	0	155
93.0	1.000044	158	0	159
94.0	1.000044	157	0	133
95.0	1.000044	135	0	158
96.0	1.000044	148	0	140
97.0	1.000044	137	0	138
98.0	1.000044	138	0	152
99.0	1.000044	145	0	119
100.0	1.000044	119	0	118
101.0	0	131	0	132
102.0	0	114	0	123
103.0	0	131	2	118
104.0	0	126	0	107
105.0	0	127	0	142
106.0	0	121	0	110
107.0	0	110	0	122
108.0	0	107	0	104
109.0	0	116	0	116
110.0	0	119	0	97
111.0	0	87	0	88
112.0	0	105	0	86
113.0	0	96	0	102
114.0	0	87	0	91
115.0	0	86	0	110
116.0	0	92	0	84
117.0	0	83	0	79
118.0	0	99	0	98
119.0	0	96	0	101
120.0	0	85	0	85
121.0	0	99	0	99
122.0	0	98	0	101
123.0	0	110	0	86
124.0	0	87	0	94
125.0	0	87	0	91
126.0	0	79	0	88
127.0	0	89	0	76
128.0	0	70	0	84
129.0	0	96	0	82
130.0	0	76	0	53
131.0	0	68	0	78
132.0	0	71	0	72
133.0	0	57	0	74
134.0	0	78	0	65
135.0	0	72	0	69
136.0	0	71	0	82
137.0	0	82	0	72
138.0	0	77	0	74
139.0	0	73	0	59
140.0	0	68	0	60
141.0	0	52	0	56
142.0	0	61	0	57
143.0	0	57	0	55
144.0	0	54	0	59
145.0	0	53	0	53
146.0	0	64	0	56
147.0	0	64	0	60
148.0	0	46	0	65
149.0	0	68	0	75
150.0	0	68	0	59
151.0	0	63	0	72
152.0	0	60	0	62
153.0	0	50	0	53
154.0	0	71	0	52
155.0	0	57	0	49
156.0	0	52	0	52
157.0	0	60	0	53
158.0	0	52	0	43
159.0	0	42	0	45
160.0	0	46	0	45
161.0	0	46	0	48
162.0	0	48	0	45
163.0	0	34	0	46
164.0	0	42	0	47
165.0	0	44	0	62
166.0	0	47	0	32
167.0	0	42	0	47
168.0	0	55	0	41
169.0	0	51	0	50
170.0	0	46	0	44
171.0	0	46	0	47
172.0	0	43	0	42
173.0	0	38	0	38
174.0	0	44	0	49
175.0	0	46	0	48
176.0	0	42	0	42
