## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva/results/04_filtered/TES-3_with_rg.bam] OUTPUT=/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva/results/04_filtered/TES-3_dedup.bam METRICS_FILE=/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva/results/04_filtered/TES-3_dedup_metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Aug 29 17:09:40 CEST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	50427943	0	37303506	0	30343872	1071046	0.601727	22644901

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.00589	10613997	0	11065991
2.0	1.114388	4534230	763515	4291028
3.0	1.126091	2221915	82717	2111419
4.0	1.127353	1144771	17520	1099930
5.0	1.127489	601801	5888	580360
6.0	1.127504	322164	2696	310515
7.0	1.127505	177751	1478	171393
8.0	1.127506	104414	990	100719
9.0	1.127506	65027	650	62687
10.0	1.127506	44236	469	42743
11.0	1.127506	31609	324	30725
12.0	1.127506	24041	264	23113
13.0	1.127506	18868	201	18422
14.0	1.127506	15334	151	14862
15.0	1.127506	12932	114	12591
16.0	1.127506	10717	94	10540
17.0	1.127506	9382	86	9142
18.0	1.127506	8188	54	7945
19.0	1.127506	7086	51	6955
20.0	1.127506	6298	39	6197
21.0	1.127506	5709	35	5490
22.0	1.127506	4956	28	4866
23.0	1.127506	4499	25	4378
24.0	1.127506	4239	24	4149
25.0	1.127506	3850	14	3728
26.0	1.127506	3477	14	3394
27.0	1.127506	3165	18	3093
28.0	1.127506	2961	14	2850
29.0	1.127506	2742	18	2677
30.0	1.127506	2576	10	2576
31.0	1.127506	2354	7	2284
32.0	1.127506	2234	7	2215
33.0	1.127506	2130	9	2075
34.0	1.127506	2016	11	1932
35.0	1.127506	1860	3	1863
36.0	1.127506	1813	3	1770
37.0	1.127506	1677	5	1640
38.0	1.127506	1562	4	1476
39.0	1.127506	1465	5	1461
40.0	1.127506	1392	8	1372
41.0	1.127506	1371	1	1289
42.0	1.127506	1278	5	1232
43.0	1.127506	1231	3	1212
44.0	1.127506	1122	2	1139
45.0	1.127506	1122	5	1037
46.0	1.127506	1004	3	998
47.0	1.127506	996	2	964
48.0	1.127506	997	3	972
49.0	1.127506	934	2	919
50.0	1.127506	877	4	818
51.0	1.127506	833	1	832
52.0	1.127506	849	0	844
53.0	1.127506	787	0	785
54.0	1.127506	790	1	805
55.0	1.127506	778	0	717
56.0	1.127506	701	2	680
57.0	1.127506	737	0	663
58.0	1.127506	663	2	673
59.0	1.127506	640	0	640
60.0	1.127506	652	0	639
61.0	1.127506	600	1	593
62.0	1.127506	593	1	582
63.0	1.127506	561	1	574
64.0	1.127506	507	0	515
65.0	1.127506	516	0	530
66.0	1.127506	513	1	494
67.0	1.127506	509	1	497
68.0	1.127506	455	0	457
69.0	1.127506	482	0	459
70.0	1.127506	463	1	424
71.0	1.127506	448	0	435
72.0	1.127506	429	0	393
73.0	1.127506	409	1	419
74.0	1.127506	421	0	408
75.0	1.127506	397	1	408
76.0	1.127506	403	0	401
77.0	1.127506	389	0	391
78.0	1.127506	402	0	387
79.0	1.127506	379	1	361
80.0	1.127506	363	0	339
81.0	1.127506	342	0	303
82.0	1.127506	326	0	330
83.0	1.127506	316	0	324
84.0	1.127506	320	0	327
85.0	1.127506	320	0	299
86.0	1.127506	290	0	289
87.0	1.127506	278	0	291
88.0	1.127506	317	0	289
89.0	1.127506	289	0	311
90.0	1.127506	272	0	281
91.0	1.127506	298	0	282
92.0	1.127506	270	1	247
93.0	1.127506	242	0	242
94.0	1.127506	255	0	257
95.0	1.127506	257	0	247
96.0	1.127506	244	0	246
97.0	1.127506	235	0	233
98.0	1.127506	236	0	221
99.0	1.127506	236	1	210
100.0	1.127506	216	0	223
101.0	0	240	0	236
102.0	0	227	0	227
103.0	0	221	0	196
104.0	0	218	0	207
105.0	0	192	0	203
106.0	0	187	0	208
107.0	0	226	1	204
108.0	0	191	0	199
109.0	0	188	0	207
110.0	0	201	0	195
111.0	0	191	0	180
112.0	0	181	0	179
113.0	0	187	0	169
114.0	0	173	0	166
115.0	0	165	0	181
116.0	0	159	1	160
117.0	0	179	0	169
118.0	0	169	0	161
119.0	0	171	0	157
120.0	0	154	0	132
121.0	0	153	0	154
122.0	0	137	0	144
123.0	0	138	0	122
124.0	0	144	0	138
125.0	0	142	0	144
126.0	0	132	0	154
127.0	0	144	0	130
128.0	0	132	0	146
129.0	0	129	0	144
130.0	0	145	0	150
131.0	0	154	0	126
132.0	0	135	0	123
133.0	0	131	0	122
134.0	0	118	1	129
135.0	0	144	0	128
136.0	0	112	0	128
137.0	0	138	0	128
138.0	0	120	0	118
139.0	0	110	0	103
140.0	0	109	0	98
141.0	0	98	0	97
142.0	0	112	0	109
143.0	0	94	0	93
144.0	0	107	0	111
145.0	0	93	0	92
146.0	0	111	0	115
147.0	0	108	0	112
148.0	0	122	0	113
149.0	0	91	0	85
150.0	0	94	0	80
151.0	0	95	0	86
152.0	0	84	0	84
153.0	0	89	0	83
154.0	0	99	0	84
155.0	0	84	0	92
156.0	0	87	0	82
157.0	0	83	0	89
158.0	0	84	0	84
159.0	0	88	0	86
160.0	0	87	0	103
161.0	0	91	0	81
162.0	0	82	0	75
163.0	0	78	0	94
164.0	0	83	1	85
165.0	0	82	0	84
166.0	0	76	0	68
167.0	0	80	0	67
168.0	0	62	0	70
169.0	0	76	0	81
170.0	0	87	0	89
171.0	0	84	0	74
172.0	0	71	0	76
173.0	0	64	0	89
174.0	0	88	0	74
175.0	0	80	0	79
176.0	0	76	0	74
177.0	0	84	0	65
178.0	0	69	0	56
179.0	0	63	0	63
180.0	0	68	0	71
181.0	0	70	0	77
182.0	0	65	0	59
183.0	0	58	0	54
184.0	0	64	0	47
185.0	0	58	0	58
186.0	0	58	0	73
187.0	0	60	0	60
188.0	0	64	0	51
189.0	0	66	0	59
190.0	0	60	0	69
191.0	0	66	0	62
192.0	0	58	0	59
193.0	0	54	0	53
194.0	0	57	0	61
195.0	0	43	0	38
196.0	0	58	0	47
197.0	0	53	0	55
198.0	0	40	0	42
199.0	0	47	0	55
200.0	0	56	0	43
201.0	0	48	0	41
202.0	0	47	0	49
203.0	0	45	0	45
204.0	0	41	0	58
205.0	0	60	0	57
206.0	0	57	0	52
207.0	0	56	0	61
208.0	0	46	0	44
209.0	0	59	0	55
210.0	0	47	0	54
211.0	0	46	0	41
212.0	0	54	0	43
213.0	0	48	0	47
214.0	0	48	0	44
215.0	0	33	0	35
216.0	0	42	0	54
217.0	0	46	0	46
218.0	0	45	0	41
219.0	0	54	0	50
220.0	0	37	0	36
221.0	0	47	0	38
222.0	0	49	0	40
223.0	0	42	0	49
224.0	0	40	0	49
225.0	0	40	0	38
226.0	0	51	0	36
227.0	0	39	0	29
228.0	0	39	0	37
229.0	0	37	0	37
230.0	0	32	0	53
231.0	0	33	0	25
232.0	0	47	0	38
