"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","84/1946","204/9447",0.411764705882353,1.99894202285231,7.34657127147127,1.15224512427117e-11,9.99572645305243e-10,6.09477026259226e-10,"2475/5567/10451/7482/356/7042/10000/3688/288/818/5328/355/51196/22800/960/5058/5962/867/81029/3845/3709/4659/3479/3091/388112/7057/8826/3480/4313/6774/3690/406991/5578/6093/4087/7040/9475/6382/5500/6654/3685/8324/2066/2335/6714/7074/7078/3708/859/1499/7474/3693/22808/5291/5290/3791/10855/287/817/2247/2549/7097/29102/5295/1839/2099/5879/7291/1956/8321/1278/858/857/4233/51384/673/6469/286/6383/8323/4609/5747/4478/2719",84
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","65/1946","157/9447",0.414012738853503,2.00985526410537,6.49885592001848,1.91454060986248e-09,1.32869118324456e-07,8.10152973857595e-08,"10207/7482/23418/7042/7159/56288/29119/9231/657/6934/55844/7003/10413/330/81029/26524/60485/122786/652/64398/4088/999/8313/4087/4092/4089/7040/10971/5500/1496/8324/7529/84612/4771/7048/1499/8994/7474/2932/25937/5584/1739/92597/374/658/4086/324/1495/2246/5521/23286/654/896/653/1490/8321/5054/51384/5520/5516/6591/6788/8323/4609/154796",65
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","66/1946","174/9447",0.379310344827586,1.84138994223341,5.70555132362591,8.81557940994224e-08,3.13871654237025e-06,1.91379349314855e-06,"3725/4919/5567/7482/81839/27101/5599/22943/818/6934/4316/81029/4040/144165/11197/8549/122011/23002/4088/7090/6477/4775/51701/50964/8313/5578/4089/9475/2487/8324/23236/5332/4773/84133/2033/1499/7474/166336/2932/79718/59343/5602/5530/27123/817/1501/324/4163/1452/5601/896/6885/84870/5879/8321/51384/8454/5533/8323/340419/4609/8840/7091/7088/6907/2239",66
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","116/1946","362/9447",0.320441988950276,1.55560918274063,5.4903121920434,1.26571713400782e-07,3.94729124857762e-06,2.40681189432459e-06,"2782/2475/3716/55970/23566/1435/4803/117145/1942/356/3915/2786/10000/3688/5728/118788/55844/627/80310/7450/3845/4254/3479/2321/10161/54331/5529/7057/2252/22801/3480/5934/23035/3690/5578/57521/3909/23239/10971/6654/7039/3694/3655/3685/1385/2066/2335/3667/1286/1293/598/7529/5105/3455/5155/3680/9223/2932/3693/5523/5291/5290/5156/3791/374/6696/4790/1950/3558/2247/7097/56034/7424/5618/3575/3672/5295/2149/1946/2246/5521/8817/5617/896/1297/2309/3910/3908/6446/7058/5879/3696/3569/9586/1956/9863/1021/1278/3912/22798/4233/64764/6009/5520/5516/284/4609/5747/3717/3456/7010/4915/3371/2846/1288/1287",116
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","98/1946","300/9447",0.326666666666667,1.5858273381295,5.25202431694184,4.52329275495683e-07,1.12113041855001e-05,6.83595371237836e-06,"3725/1647/55970/5567/1435/5906/4803/1942/356/777/7042/11221/84451/10000/5599/355/22800/627/7189/5058/80310/3845/5908/5801/4254/1848/3479/2321/4149/4293/2252/5607/3480/4775/6416/51701/57551/5578/27092/5608/4616/773/7040/8605/25780/6654/8491/5495/7039/9448/3552/3553/785/51776/2066/5155/7048/55799/22808/2122/9175/3556/5062/5156/3791/374/5602/5530/4790/1950/2247/56034/9693/7424/4214/5921/4208/1946/2246/8817/5601/6885/4217/23118/4216/6196/2768/5879/1956/4233/673/5533/6788/284/4609/7010/4915/6197",98
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","38/1946","87/9447",0.436781609195402,2.12038841832938,5.34719618773429,8.90643966602589e-07,1.93158410256936e-05,1.17775945583632e-05,"2475/3725/1647/7042/10000/5599/6934/3845/4088/8313/4087/4089/5366/4616/7040/6654/2956/7039/7048/4292/1499/2932/5291/5290/374/5602/1950/5295/51426/4437/324/5601/5879/54205/5898/1956/673/4609",38
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","34/1946","77/9447",0.441558441558442,2.14357790205683,5.13188750426476,2.45752706329396e-06,4.48822047875266e-05,2.73663678516392e-05,"2475/3716/1647/7042/10000/5599/3845/675/4088/6774/10928/4087/4089/4616/7040/7039/6772/598/7048/5291/5337/5290/5602/4790/1950/5295/51426/5601/1871/5879/5898/1956/1021/673",34
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","38/1946","93/9447",0.408602150537634,1.98358916553393,4.85503464779185,6.31193524268085e-06,8.57650545028347e-05,5.22941785380548e-05,"7709/1647/3915/5743/10000/3688/5728/7189/330/317/4149/4843/3909/4616/3655/3685/2335/1286/598/5915/2272/5291/5290/4790/5295/51426/1871/3910/3908/54205/1021/3912/22798/4609/5747/7185/1288/1287",38
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","54/1946","150/9447",0.36,1.74764645426516,4.70117370010333,8.06138415646977e-06,9.64586311136211e-05,5.88144542813221e-05,"2475/1647/7482/83998/7042/10000/29119/6934/4583/81029/4040/3845/122011/399694/2252/4088/999/8313/4087/4089/4616/7040/6654/1496/8324/5915/7048/4292/1499/7474/2932/5291/5290/1950/2247/2549/5295/51426/324/1495/2246/1452/8817/1871/1956/5243/8321/4233/51384/673/6469/1015/8323/4609",54
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","29/1946","70/9447",0.414285714285714,2.01118044340038,4.32495436620965,5.70201480740978e-05,0.000449681622311635,0.000274187793370662,"6513/3725/5906/7042/10000/8453/5058/2113/3845/5908/112399/3091/7040/6654/2034/7039/5155/2033/5291/5290/5062/2549/5295/5879/4233/673/6921/2889/5063",29
